# Original filename: 0043_BFO_2017-06-19.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
26961	42	STIM=j
32856	42	RESP=1
43877	42	STIM=o
47802	42	RESP=1
59428	42	STIM=t
62563	42	RESP=1
77476	42	STIM=f
84733	42	RESP=1
95444	42	STIM=d
100126	42	RESP=2
111722	42	STIM=1
123008	42	RESP=1
128040	42	STIM=l
132326	42	RESP=1
146648	42	STIM=7
150629	42	RESP=1
162080	42	STIM=g
168777	42	RESP=1
179170	42	STIM=8
185030	42	RESP=2
195356	42	STIM=9
203271	42	RESP=2
212940	42	STIM=m
217340	42	RESP=1
230488	42	STIM=2
242078	42	RESP=2
248843	42	STIM=h
255328	42	RESP=2
265507	42	STIM=v
272866	42	RESP=2
283601	42	STIM=d
288357	42	RESP=1
302023	42	STIM=0
308343	42	RESP=2
320758	42	STIM=b
327397	42	RESP=1
338585	42	STIM=1
346575	42	RESP=2
356045	42	STIM=x
363160	42	RESP=1
372428	42	STIM=v
377146	42	RESP=1
389206	42	STIM=u
394376	42	RESP=1
406833	42	STIM=c
409903	42	RESP=1
424275	42	STIM=0
428832	42	RESP=2
440334	42	STIM=7
449380	42	RESP=2
458087	42	STIM=s
461067	42	RESP=1
473857	42	STIM=w
478497	42	RESP=1
488981	42	STIM=k
493786	42	RESP=1
507849	42	STIM=o
511805	42	RESP=1
525442	42	STIM=8
532611	42	RESP=1
544167	42	STIM=7
550500	42	RESP=2
561542	42	STIM=s
564717	42	RESP=1
578959	42	STIM=9
585971	42	RESP=2
595412	42	STIM=f
601592	42	RESP=1
612651	42	STIM=i
617386	42	RESP=1
628854	42	STIM=g
632032	42	RESP=1
645718	42	STIM=a
650091	42	RESP=1
661788	42	STIM=m
669569	42	RESP=1
678660	42	STIM=b
683918	42	RESP=1
697033	42	STIM=r
702525	42	RESP=1
714208	42	STIM=4
721020	42	RESP=2
733072	42	STIM=h
737649	42	RESP=1
749630	42	STIM=q
754853	42	RESP=1
765189	42	STIM=u
769308	42	RESP=1
782075	42	STIM=d
789760	42	RESP=1
798571	42	STIM=3
803418	42	RESP=2
813931	42	STIM=s
820864	42	RESP=1
829727	42	STIM=0
839054	42	RESP=2
844923	42	STIM=a
859023	42	RESP=1
860590	42	STIM=3
867334	42	RESP=2
877968	42	STIM=4
884965	42	RESP=2
893439	42	STIM=f
897955	42	RESP=1
909297	42	STIM=o
916399	42	RESP=1
925504	42	STIM=b
929503	42	RESP=1
941830	42	STIM=p
951116	42	RESP=1
958381	42	STIM=p
961310	42	RESP=1
974557	42	STIM=9
979933	42	RESP=2
990335	42	STIM=u
994440	42	RESP=1
1009042	42	STIM=i
1014333	42	RESP=1
1027103	42	STIM=t
1032197	42	RESP=1
1045126	42	STIM=n
1048998	42	RESP=1
1062752	42	STIM=m
1068249	42	RESP=1
1078308	42	STIM=x
1083549	42	RESP=1
1095858	42	STIM=9
1110076	42	RESP=2
1111635	42	STIM=s
1115485	42	RESP=1
1129472	42	STIM=9
1135122	42	RESP=2
1144668	42	STIM=4
1153134	42	RESP=2
1161743	42	STIM=e
1166710	42	RESP=1
1177559	42	STIM=6
1186218	42	RESP=2
1194463	42	STIM=s
1198345	42	RESP=1
1211269	42	STIM=2
1215890	42	RESP=2
1228245	42	STIM=s
1233702	42	RESP=1
1245499	42	STIM=u
1256144	42	RESP=1
1263934	42	STIM=h
1272467	42	RESP=1
1279150	42	STIM=3
1286396	42	RESP=2
1298042	42	STIM=0
1304054	42	RESP=2
1313265	42	STIM=k
1320221	42	RESP=1
1331771	42	STIM=v
1337862	42	RESP=1
1350553	42	STIM=7
1356364	42	RESP=2
1369315	42	STIM=8
1380285	42	RESP=2
1384392	42	STIM=t
1391092	42	RESP=1
1401804	42	STIM=q
1412580	42	RESP=1
1418485	42	STIM=v
1424043	42	RESP=1
1435717	42	STIM=5
1441583	42	RESP=2
1453900	42	STIM=6
1459035	42	RESP=2
1472435	42	STIM=a
1476246	42	RESP=1
1487527	42	STIM=2
1492761	42	RESP=2
1505493	42	STIM=0
1509097	42	RESP=2
1522640	42	STIM=e
1530471	42	RESP=1
1539723	42	STIM=t
1551978	42	RESP=1
1555038	42	STIM=y
1559483	42	RESP=1
1570699	42	STIM=v
1574490	42	RESP=1
1588760	42	STIM=q
1592907	42	RESP=1
1607627	42	STIM=j
1615733	42	RESP=2
1623732	42	STIM=p
1628922	42	RESP=1
1641800	42	STIM=w
1647694	42	RESP=1
1659344	42	STIM=j
1665392	42	RESP=1
1675754	42	STIM=y
1680411	42	RESP=1
1694700	42	STIM=o
1700766	42	RESP=1
1712419	42	STIM=w
1718201	42	RESP=1
1730826	42	STIM=y
1734762	42	RESP=1
1747822	42	STIM=v
1752540	42	RESP=1
1766018	42	STIM=x
1770748	42	RESP=1
1784561	42	STIM=a
1791498	42	RESP=1
1801638	42	STIM=o
1806964	42	RESP=1
1819670	42	STIM=0
1825797	42	RESP=2
1836082	42	STIM=x
1842591	42	RESP=1
1854713	42	STIM=q
1860923	42	RESP=1
1872471	42	STIM=a
1881342	42	RESP=1
1888607	42	STIM=b
1897404	42	RESP=1
1904848	42	STIM=f
1907881	42	RESP=1
1922906	42	STIM=a
1927481	42	RESP=1
1940096	42	STIM=c
1950074	42	RESP=1
1955565	42	STIM=d
1961059	42	RESP=1
1973281	42	STIM=c
1979387	42	RESP=1
1991492	42	STIM=0
1999640	42	RESP=1
2009616	42	STIM=d
2015398	42	RESP=1
2028561	42	STIM=e
2033819	42	RESP=1
2045918	42	STIM=n
2049821	42	RESP=1
2062931	42	STIM=g
2066609	42	RESP=1
2080696	42	STIM=o
2084410	42	RESP=1
2097835	42	STIM=j
2106677	42	RESP=1
2115572	42	STIM=g
2120865	42	RESP=1
2132605	42	STIM=g
2136706	42	RESP=1
2151574	42	STIM=h
2162702	42	RESP=1
2167413	42	STIM=x
2173679	42	RESP=1
2183696	42	STIM=r
2187698	42	RESP=1
2199883	42	STIM=a
2206858	42	RESP=1
2217969	42	STIM=c
