# Original filename: 0043_WOY_2016-12-25.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37238	42	STIM=g
45557	42	RESP=1
52867	42	STIM=8
56671	42	RESP=2
71214	42	STIM=k
74526	42	RESP=2
88353	42	STIM=5
97047	42	RESP=2
105012	42	STIM=n
114364	42	RESP=1
120639	42	STIM=n
124639	42	RESP=1
138818	42	STIM=s
143985	42	RESP=1
157722	42	STIM=i
163226	42	RESP=1
173126	42	STIM=s
177198	42	RESP=1
188517	42	STIM=o
191959	42	RESP=1
204918	42	STIM=k
208936	42	RESP=1
220154	42	STIM=c
224084	42	RESP=1
236696	42	STIM=w
242565	42	RESP=1
253607	42	STIM=t
256231	42	RESP=2
269906	42	STIM=q
274752	42	RESP=1
287881	42	STIM=d
292760	42	RESP=1
303103	42	STIM=t
307518	42	RESP=1
321432	42	STIM=3
328087	42	RESP=2
336703	42	STIM=m
341484	42	RESP=1
353370	42	STIM=2
358301	42	RESP=2
370035	42	STIM=0
375251	42	RESP=2
387431	42	STIM=4
391607	42	RESP=2
406387	42	STIM=z
409855	42	RESP=1
425358	42	STIM=c
430858	42	RESP=1
443713	42	STIM=l
448051	42	RESP=1
459298	42	STIM=l
466824	42	RESP=1
478022	42	STIM=0
483430	42	RESP=2
494469	42	STIM=n
498741	42	RESP=1
513009	42	STIM=a
517386	42	RESP=1
531533	42	STIM=o
536341	42	RESP=1
548031	42	STIM=n
553765	42	RESP=1
564483	42	STIM=p
571401	42	RESP=1
583053	42	STIM=j
588007	42	RESP=1
601741	42	STIM=4
606922	42	RESP=2
618045	42	STIM=o
626012	42	RESP=1
636329	42	STIM=u
643894	42	RESP=1
652872	42	STIM=p
656127	42	RESP=1
671164	42	STIM=x
674919	42	RESP=1
688302	42	STIM=3
696010	42	RESP=2
704732	42	STIM=f
707523	42	RESP=1
719841	42	STIM=a
724718	42	RESP=1
738577	42	STIM=t
743613	42	RESP=1
754077	42	STIM=7
760754	42	RESP=2
772684	42	STIM=3
777508	42	RESP=2
789548	42	STIM=f
796427	42	RESP=1
805365	42	STIM=y
809148	42	RESP=1
824218	42	STIM=7
831685	42	RESP=2
842305	42	STIM=4
846204	42	RESP=2
857462	42	STIM=r
864474	42	RESP=1
874390	42	STIM=h
879034	42	RESP=1
890723	42	STIM=j
893919	42	RESP=1
905889	42	STIM=a
910585	42	RESP=1
921116	42	STIM=y
928366	42	RESP=1
937371	42	STIM=k
942800	42	RESP=1
956326	42	STIM=l
963524	42	RESP=1
975082	42	STIM=a
978559	42	RESP=2
992068	42	STIM=g
995829	42	RESP=1
1010545	42	STIM=p
1014788	42	RESP=1
1028379	42	STIM=a
1033990	42	RESP=1
1043441	42	STIM=i
1048530	42	RESP=1
1061104	42	STIM=g
1068957	42	RESP=1
1077799	42	STIM=d
1087417	42	RESP=1
1095547	42	STIM=v
1098829	42	RESP=1
1112192	42	STIM=p
1115099	42	RESP=1
1129677	42	STIM=r
1137372	42	RESP=1
1147227	42	STIM=k
1154012	42	RESP=1
