# Original filename: 0044_GWQ_2017-08-19.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34880	42	STIM=a
37680	42	RESP=1
50297	42	STIM=d
53762	42	RESP=1
66990	42	STIM=4
72295	42	RESP=2
85709	42	STIM=6
91143	42	RESP=2
104332	42	STIM=6
109688	42	RESP=2
120333	42	STIM=o
124646	42	RESP=1
136378	42	STIM=r
140702	42	RESP=1
154269	42	STIM=4
158356	42	RESP=2
171666	42	STIM=b
176262	42	RESP=1
187445	42	STIM=3
193608	42	RESP=2
205021	42	STIM=n
209938	42	RESP=1
223980	42	STIM=p
227509	42	RESP=1
240911	42	STIM=h
246830	42	RESP=1
258673	42	STIM=i
261242	42	RESP=1
273948	42	STIM=y
278380	42	RESP=1
289876	42	STIM=e
294490	42	RESP=1
308182	42	STIM=m
314868	42	RESP=1
323295	42	STIM=j
327718	42	RESP=1
340326	42	STIM=6
344628	42	RESP=2
358386	42	STIM=l
361902	42	RESP=1
374719	42	STIM=t
379996	42	RESP=1
392742	42	STIM=n
398007	42	RESP=1
411076	42	STIM=i
416383	42	RESP=1
428783	42	STIM=j
435300	42	RESP=2
445153	42	STIM=c
448673	42	RESP=1
461843	42	STIM=3
468976	42	RESP=2
478569	42	STIM=5
486578	42	RESP=2
494085	42	STIM=e
498376	42	RESP=1
511148	42	STIM=c
516026	42	RESP=1
528261	42	STIM=y
532101	42	RESP=1
543428	42	STIM=i
548692	42	RESP=1
561828	42	STIM=d
568055	42	RESP=1
579415	42	STIM=x
582718	42	RESP=1
594774	42	STIM=t
598690	42	RESP=1
613035	42	STIM=i
617979	42	RESP=1
631399	42	STIM=5
636205	42	RESP=2
647903	42	STIM=i
653845	42	RESP=1
663876	42	STIM=1
670367	42	RESP=2
682050	42	STIM=c
689737	42	RESP=1
697952	42	STIM=m
700944	42	RESP=1
715180	42	STIM=l
719510	42	RESP=1
733319	42	STIM=d
737205	42	RESP=1
751981	42	STIM=x
755803	42	RESP=1
767105	42	STIM=1
772254	42	RESP=2
782298	42	STIM=w
787230	42	RESP=1
797675	42	STIM=s
800987	42	RESP=1
813618	42	STIM=p
818514	42	RESP=1
831869	42	STIM=g
834868	42	RESP=1
848694	42	STIM=i
852971	42	RESP=1
867560	42	STIM=q
875902	42	RESP=1
884131	42	STIM=u
886627	42	RESP=1
902242	42	STIM=w
905641	42	RESP=1
919178	42	STIM=l
922415	42	RESP=1
937519	42	STIM=d
941408	42	RESP=1
954094	42	STIM=o
956963	42	RESP=1
969656	42	STIM=q
977308	42	RESP=1
987492	42	STIM=n
990893	42	RESP=1
1004880	42	STIM=6
1009002	42	RESP=2
1022757	42	STIM=m
1030199	42	RESP=1
1038845	42	STIM=t
1042177	42	RESP=1
1056718	42	STIM=s
1059568	42	RESP=2
1074679	42	STIM=f
1080284	42	RESP=1
1092487	42	STIM=w
1098229	42	RESP=1
1107558	42	STIM=f
1112379	42	RESP=1
1123286	42	STIM=g
1126210	42	RESP=1
1140020	42	STIM=c
