# Original filename: 0044_UBJ_2017-06-14.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30379	42	STIM=j
34672	42	RESP=1
45979	42	STIM=p
49786	42	RESP=1
63890	42	STIM=3
69416	42	RESP=2
79369	42	STIM=o
82594	42	RESP=1
97961	42	STIM=8
103446	42	RESP=2
114937	42	STIM=z
119985	42	RESP=1
133473	42	STIM=u
138683	42	RESP=1
151933	42	STIM=f
157470	42	RESP=1
166947	42	STIM=b
171379	42	RESP=1
183467	42	STIM=a
190001	42	RESP=1
198920	42	STIM=o
204723	42	RESP=2
216090	42	STIM=r
219986	42	RESP=1
231736	42	STIM=h
236452	42	RESP=1
247850	42	STIM=e
252904	42	RESP=1
266816	42	STIM=g
269934	42	RESP=1
283244	42	STIM=a
289333	42	RESP=1
300860	42	STIM=y
306310	42	RESP=1
318823	42	STIM=q
324102	42	RESP=2
336339	42	STIM=n
341931	42	RESP=1
352690	42	STIM=7
356310	42	RESP=2
368064	42	STIM=z
374908	42	RESP=1
385334	42	STIM=w
392589	42	RESP=1
402751	42	STIM=g
406109	42	RESP=1
420873	42	STIM=8
425393	42	RESP=2
436556	42	STIM=r
440120	42	RESP=1
453556	42	STIM=1
459353	42	RESP=2
469364	42	STIM=0
475532	42	RESP=2
487096	42	STIM=m
490441	42	RESP=2
504386	42	STIM=p
508881	42	RESP=1
519413	42	STIM=r
522885	42	RESP=1
535151	42	STIM=3
547522	42	RESP=2
550443	42	STIM=w
553715	42	RESP=1
568430	42	STIM=a
572645	42	RESP=1
586273	42	STIM=2
593880	42	RESP=2
604080	42	STIM=k
609766	42	RESP=1
622314	42	STIM=m
627662	42	RESP=1
637506	42	STIM=l
641684	42	RESP=1
655361	42	STIM=k
660187	42	RESP=1
672544	42	STIM=6
677081	42	RESP=2
688709	42	STIM=c
691150	42	RESP=1
705959	42	STIM=f
714138	42	RESP=1
721364	42	STIM=1
725227	42	RESP=2
736796	42	STIM=b
741481	42	RESP=1
755388	42	STIM=q
758869	42	RESP=1
773211	42	STIM=y
777109	42	RESP=1
792067	42	STIM=b
799981	42	RESP=1
808416	42	STIM=p
814793	42	RESP=1
826129	42	STIM=l
831320	42	RESP=1
843475	42	STIM=j
847494	42	RESP=1
858609	42	STIM=n
861474	42	RESP=1
877068	42	STIM=1
883848	42	RESP=2
893634	42	STIM=3
898849	42	RESP=2
911697	42	STIM=y
915345	42	RESP=1
927497	42	STIM=w
934394	42	RESP=1
946435	42	STIM=j
950261	42	RESP=1
961484	42	STIM=7
967956	42	RESP=2
979121	42	STIM=n
983235	42	RESP=1
996891	42	STIM=h
1004213	42	RESP=1
1014427	42	STIM=z
1017873	42	RESP=1
1032307	42	STIM=h
1035720	42	RESP=1
1050232	42	STIM=h
1053029	42	RESP=1
1067405	42	STIM=q
1070802	42	RESP=1
1084456	42	STIM=u
1089643	42	RESP=1
1101953	42	STIM=4
1108922	42	RESP=1
1118135	42	STIM=k
1124082	42	RESP=1
1133669	42	STIM=u
1138937	42	RESP=1
1148743	42	STIM=6
1154498	42	RESP=1
1166830	42	STIM=s
1174319	42	RESP=1
1182693	42	STIM=r
1188248	42	RESP=1
1201006	42	STIM=h
1205056	42	RESP=1
1217995	42	STIM=y
1221737	42	RESP=1
1234163	42	STIM=4
1241415	42	RESP=2
1250578	42	STIM=s
1258447	42	RESP=1
1267196	42	STIM=j
1271486	42	RESP=1
1282393	42	STIM=9
1289333	42	RESP=2
1301241	42	STIM=y
1306007	42	RESP=1
1316772	42	STIM=f
1320377	42	RESP=1
1333859	42	STIM=q
1337602	42	RESP=1
1351822	42	STIM=8
1358916	42	RESP=2
1366989	42	STIM=s
1369928	42	RESP=1
1385146	42	STIM=m
1389713	42	RESP=2
1402704	42	STIM=4
1410112	42	RESP=2
1421115	42	STIM=w
1425743	42	RESP=1
1436384	42	STIM=r
1440398	42	RESP=1
1451447	42	STIM=3
1456070	42	RESP=2
1468866	42	STIM=v
1471842	42	RESP=1
1487514	42	STIM=j
1491054	42	RESP=1
1503124	42	STIM=r
1507436	42	RESP=1
1519266	42	STIM=d
1524383	42	RESP=1
1534465	42	STIM=j
1538847	42	RESP=1
1553430	42	STIM=x
1557365	42	RESP=1
1572258	42	STIM=t
1575636	42	RESP=1
1588321	42	STIM=b
1591973	42	RESP=1
1606490	42	STIM=w
1612457	42	RESP=1
1623600	42	STIM=9
1627385	42	RESP=2
1640726	42	STIM=9
1643944	42	RESP=2
1656835	42	STIM=v
1661820	42	RESP=1
1672595	42	STIM=n
1678880	42	RESP=1
1688862	42	STIM=q
1693584	42	RESP=1
1704825	42	STIM=b
1709868	42	RESP=1
1722159	42	STIM=8
1726688	42	RESP=2
1740019	42	STIM=p
1743655	42	RESP=1
1755671	42	STIM=1
1762802	42	RESP=2
1773265	42	STIM=s
1776617	42	RESP=1
1790679	42	STIM=4
1796579	42	RESP=2
1809322	42	STIM=s
1814654	42	RESP=2
1828014	42	STIM=v
1832220	42	RESP=1
1844352	42	STIM=j
1851838	42	RESP=1
1860500	42	STIM=x
1864839	42	RESP=1
1879092	42	STIM=o
1881965	42	RESP=1
1894789	42	STIM=t
1898090	42	RESP=1
1912657	42	STIM=e
1918433	42	RESP=1
1929884	42	STIM=f
1934383	42	RESP=1
1948218	42	STIM=f
1951168	42	RESP=1
1967217	42	STIM=u
1972241	42	RESP=1
1983140	42	STIM=3
1991502	42	RESP=2
2001474	42	STIM=8
2007100	42	RESP=2
2018504	42	STIM=e
2024868	42	RESP=1
2035679	42	STIM=l
2041777	42	RESP=1
2051808	42	STIM=q
2056345	42	RESP=1
2068708	42	STIM=0
2073465	42	RESP=2
2085432	42	STIM=1
2093560	42	RESP=2
2102628	42	STIM=g
2110789	42	RESP=1
2119248	42	STIM=g
2123041	42	RESP=1
2134891	42	STIM=p
2137791	42	RESP=1
2151030	42	STIM=7
2155978	42	RESP=2
2167822	42	STIM=b
2174639	42	RESP=1
2184302	42	STIM=y
2189526	42	RESP=1
2202447	42	STIM=7
2207403	42	RESP=1
2219769	42	STIM=m
2222854	42	RESP=1
2238290	42	STIM=f
2242677	42	RESP=1
2257087	42	STIM=0
2260277	42	RESP=2
2272773	42	STIM=q
2277535	42	RESP=1
2288993	42	STIM=b
2294483	42	RESP=1
2307792	42	STIM=s
2313547	42	RESP=1
2323567	42	STIM=v
2327616	42	RESP=1
2342417	42	STIM=m
2347161	42	RESP=1
2359681	42	STIM=y
2364153	42	RESP=1
2376726	42	STIM=s
2379505	42	RESP=1
2392090	42	STIM=c
2396691	42	RESP=1
2410849	42	STIM=k
2417709	42	RESP=1
2427932	42	STIM=v
2435713	42	RESP=1
2445348	42	STIM=j
2448821	42	RESP=2
2463606	42	STIM=e
2467230	42	RESP=1
2480873	42	STIM=z
2487255	42	RESP=1
2498636	42	STIM=y
2506132	42	RESP=2
2514895	42	STIM=l
2519847	42	RESP=2
2531622	42	STIM=l
2534404	42	RESP=1
2550612	42	STIM=o
2554119	42	RESP=1
2569166	42	STIM=d
2574875	42	RESP=1
2587355	42	STIM=5
2594068	42	RESP=2
2603619	42	STIM=t
2610452	42	RESP=1
2621735	42	STIM=u
2624998	42	RESP=1
2637049	42	STIM=f
2642848	42	RESP=1
2652125	42	STIM=z
2656561	42	RESP=1
2668128	42	STIM=e
2673545	42	RESP=1
2685142	42	STIM=f
2689890	42	RESP=1
2703313	42	STIM=z
2709544	42	RESP=1
2720615	42	STIM=8
2724676	42	RESP=2
2737007	42	STIM=x
2741337	42	RESP=1
2754611	42	STIM=n
2759310	42	RESP=1
2773547	42	STIM=d
2780335	42	RESP=1
2791998	42	STIM=a
2797104	42	RESP=1
2808914	42	STIM=z
2816985	42	RESP=1
2824358	42	STIM=e
2829097	42	RESP=1
2842214	42	STIM=4
2845876	42	RESP=2
2860819	42	STIM=9
2865173	42	RESP=2
2878178	42	STIM=y
2882158	42	RESP=2
2895540	42	STIM=b
2903272	42	RESP=1
2910876	42	STIM=v
2916591	42	RESP=1
2928013	42	STIM=1
2934482	42	RESP=2
2943739	42	STIM=z
2949388	42	RESP=1
2959811	42	STIM=6
2967000	42	RESP=2
2976528	42	STIM=4
2981902	42	RESP=2
2992623	42	STIM=d
2999742	42	RESP=1
3011480	42	STIM=t
3015415	42	RESP=1
3028269	42	STIM=r
3031692	42	RESP=1
3043707	42	STIM=y
3046977	42	RESP=1
3062264	42	STIM=d
3066152	42	RESP=1
3077522	42	STIM=g
3081304	42	RESP=1
3095605	42	STIM=w
3100535	42	RESP=1
3111224	42	STIM=a
3114546	42	RESP=1
3127655	42	STIM=u
3131630	42	RESP=1
3146208	42	STIM=b
3151995	42	RESP=1
3165068	42	STIM=n
3169705	42	RESP=1
3181443	42	STIM=1
3187155	42	RESP=2
3196543	42	STIM=6
3201206	42	RESP=2
3213985	42	STIM=q
3219158	42	RESP=1
3231046	42	STIM=w
3235957	42	RESP=1
3247045	42	STIM=v
3252961	42	RESP=1
3265598	42	STIM=q
3269076	42	RESP=1
3280611	42	STIM=f
3284973	42	RESP=1
3297584	42	STIM=8
3306530	42	RESP=2
3315964	42	STIM=z
3319697	42	RESP=2
3333490	42	STIM=n
3341021	42	RESP=1
3351542	42	STIM=v
3355448	42	RESP=1
3369435	42	STIM=8
3373253	42	RESP=2
3387473	42	STIM=x
3391102	42	RESP=1
3404578	42	STIM=8
3411576	42	RESP=2
3421779	42	STIM=t
3426611	42	RESP=1
3439389	42	STIM=f
3443210	42	RESP=1
3457981	42	STIM=o
3463063	42	RESP=1
3473285	42	STIM=x
3477049	42	RESP=1
3489563	42	STIM=e
3493912	42	RESP=1
3507800	42	STIM=p
3511550	42	RESP=2
3523732	42	STIM=c
3528936	42	RESP=1
3540925	42	STIM=l
3546476	42	RESP=1
3557309	42	STIM=e
3561977	42	RESP=1
3572693	42	STIM=l
3576024	42	RESP=1
3591550	42	STIM=f
3596106	42	RESP=1
3608022	42	STIM=d
3614296	42	RESP=1
3623978	42	STIM=z
3627230	42	RESP=1
3639499	42	STIM=g
3645410	42	RESP=1
3655091	42	STIM=f
3661227	42	RESP=1
3670339	42	STIM=6
3675870	42	RESP=2
3689156	42	STIM=g
3694955	42	RESP=1
3707041	42	STIM=8
3710687	42	RESP=2
3723480	42	STIM=i
3727817	42	RESP=1
3740213	42	STIM=j
3744108	42	RESP=1
3759098	42	STIM=q
3764396	42	RESP=1
3776416	42	STIM=q
3781965	42	RESP=2
3794356	42	STIM=1
3798369	42	RESP=2
3812159	42	STIM=z
3819498	42	RESP=1
3830755	42	STIM=j
3837542	42	RESP=1
3848205	42	STIM=b
3853076	42	RESP=1
3864031	42	STIM=9
3868309	42	RESP=2
3880057	42	STIM=q
3885500	42	RESP=1
3898049	42	STIM=r
3904869	42	RESP=1
3913530	42	STIM=j
3916787	42	RESP=1
3929638	42	STIM=w
3937093	42	RESP=1
3946375	42	STIM=2
3951041	42	RESP=2
3963053	42	STIM=z
3967443	42	RESP=1
3978578	42	STIM=q
3987342	42	RESP=1
3996349	42	STIM=r
3999717	42	RESP=1
4014655	42	STIM=w
4021560	42	RESP=1
4033377	42	STIM=t
4041062	42	RESP=1
4049018	42	STIM=p
4057489	42	RESP=1
4064499	42	STIM=7
4068849	42	RESP=2
4082804	42	STIM=v
4089646	42	RESP=1
4100218	42	STIM=0
4104479	42	RESP=2
4118589	42	STIM=u
4121855	42	RESP=1
4133693	42	STIM=k
4139512	42	RESP=1
4149202	42	STIM=m
4152998	42	RESP=1
4167721	42	STIM=c
4171322	42	RESP=1
4184463	42	STIM=c
4192402	42	RESP=1
4202718	42	STIM=8
4207458	42	RESP=2
4218969	42	STIM=g
4223888	42	RESP=1
4235647	42	STIM=k
4238885	42	RESP=2
4251699	42	STIM=e
4256460	42	RESP=1
4270127	42	STIM=7
4274599	42	RESP=2
4287721	42	STIM=4
4292254	42	RESP=2
4303246	42	STIM=j
4309558	42	RESP=1
4318423	42	STIM=k
4322042	42	RESP=1
4335143	42	STIM=v
4340015	42	RESP=1
4350619	42	STIM=v
4355299	42	RESP=1
4368901	42	STIM=1
4373174	42	RESP=2
4384316	42	STIM=v
4393654	42	RESP=1
4403186	42	STIM=q
4406905	42	RESP=1
4419830	42	STIM=p
4427406	42	RESP=1
4437315	42	STIM=k
4441311	42	RESP=1
4454614	42	STIM=d
4462460	42	RESP=1
4469700	42	STIM=j
4473151	42	RESP=1
4487780	42	STIM=6
4494427	42	RESP=2
4505875	42	STIM=s
4511331	42	RESP=1
4524005	42	STIM=i
4534906	42	RESP=1
