# Original filename: 0045_DSA_2016-09-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36379	42	STIM=l
42832	42	RESP=1
51768	42	STIM=t
58964	42	RESP=1
68716	42	STIM=d
71840	42	RESP=1
86752	42	STIM=n
93336	42	RESP=1
103793	42	STIM=h
109172	42	RESP=1
121492	42	STIM=z
124618	42	RESP=1
139719	42	STIM=x
144028	42	RESP=1
158026	42	STIM=b
163282	42	RESP=1
175231	42	STIM=j
180290	42	RESP=1
193326	42	STIM=c
196562	42	RESP=1
212046	42	STIM=t
219095	42	RESP=1
228555	42	STIM=j
232457	42	RESP=1
246687	42	STIM=w
250208	42	RESP=1
265285	42	STIM=e
270871	42	RESP=1
281597	42	STIM=e
285320	42	RESP=1
300171	42	STIM=v
307917	42	RESP=1
318746	42	STIM=p
323534	42	RESP=1
336670	42	STIM=i
342098	42	RESP=2
352589	42	STIM=a
357130	42	RESP=1
370067	42	STIM=h
375181	42	RESP=1
385847	42	STIM=g
389154	42	RESP=1
403504	42	STIM=e
408215	42	RESP=1
420647	42	STIM=1
425992	42	RESP=2
436901	42	STIM=f
440240	42	RESP=1
452678	42	STIM=g
456816	42	RESP=1
469668	42	STIM=2
473877	42	RESP=2
484741	42	STIM=r
488607	42	RESP=1
503453	42	STIM=2
509834	42	RESP=2
518988	42	STIM=k
528261	42	RESP=1
535645	42	STIM=y
539661	42	RESP=1
551106	42	STIM=0
556807	42	RESP=1
569017	42	STIM=b
576726	42	RESP=2
585667	42	STIM=t
589935	42	RESP=1
600730	42	STIM=9
608627	42	RESP=2
616129	42	STIM=q
620569	42	RESP=1
634680	42	STIM=k
639859	42	RESP=1
653146	42	STIM=u
656760	42	RESP=1
670486	42	STIM=s
676549	42	RESP=1
686122	42	STIM=q
692383	42	RESP=1
703055	42	STIM=j
707673	42	RESP=1
721873	42	STIM=0
728295	42	RESP=2
739474	42	STIM=k
746634	42	RESP=1
756964	42	STIM=z
767268	42	RESP=1
773354	42	STIM=d
776561	42	RESP=1
789783	42	STIM=4
794531	42	RESP=2
808054	42	STIM=i
816450	42	RESP=1
826249	42	STIM=0
830707	42	RESP=2
841425	42	STIM=1
845614	42	RESP=2
857926	42	STIM=n
861457	42	RESP=1
873030	42	STIM=c
879272	42	RESP=1
891845	42	STIM=m
894489	42	RESP=1
910681	42	STIM=q
918030	42	RESP=1
929331	42	STIM=7
934343	42	RESP=2
945014	42	STIM=u
949544	42	RESP=1
963934	42	STIM=g
974170	42	RESP=1
981411	42	STIM=g
987303	42	RESP=1
1000065	42	STIM=w
1004471	42	RESP=1
1016644	42	STIM=z
1021083	42	RESP=1
1032377	42	STIM=h
1036259	42	RESP=1
1051295	42	STIM=u
1054911	42	RESP=1
1068505	42	STIM=g
1071294	42	RESP=1
1087341	42	STIM=4
1094375	42	RESP=2
1105053	42	STIM=v
1119668	42	RESP=1
1123927	42	STIM=n
1126881	42	RESP=1
1141455	42	STIM=g
1144389	42	RESP=1
1159095	42	STIM=b
1166297	42	RESP=1
1176693	42	STIM=r
1182130	42	RESP=1
1195417	42	STIM=y
1204275	42	RESP=1
1214088	42	STIM=z
1217437	42	RESP=1
1232077	42	STIM=7
1239113	42	RESP=2
1247311	42	STIM=y
1250345	42	RESP=1
1265024	42	STIM=v
1269421	42	RESP=1
1281000	42	STIM=r
1285121	42	RESP=1
1298045	42	STIM=u
1303967	42	RESP=1
1313399	42	STIM=y
1318220	42	RESP=2
