# Original filename: 0045_EIB_2017-05-29.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28602	42	STIM=c
32614	42	RESP=1
45231	42	STIM=g
51373	42	RESP=1
61641	42	STIM=e
67633	42	RESP=2
80621	42	STIM=v
88319	42	RESP=1
97320	42	STIM=d
100085	42	RESP=1
112521	42	STIM=7
117754	42	RESP=1
131103	42	STIM=v
135499	42	RESP=1
146960	42	STIM=3
152905	42	RESP=2
163676	42	STIM=t
168244	42	RESP=1
181982	42	STIM=a
185191	42	RESP=1
198071	42	STIM=x
201825	42	RESP=1
213099	42	STIM=8
217975	42	RESP=2
230703	42	STIM=u
234340	42	RESP=1
246229	42	STIM=q
250011	42	RESP=1
265086	42	STIM=1
270446	42	RESP=2
280904	42	STIM=5
286615	42	RESP=1
296940	42	STIM=n
304059	42	RESP=1
314600	42	STIM=m
323494	42	RESP=1
330835	42	STIM=e
336183	42	RESP=1
349747	42	STIM=l
356526	42	RESP=1
367221	42	STIM=m
373162	42	RESP=1
385868	42	STIM=b
389868	42	RESP=1
402630	42	STIM=q
406410	42	RESP=1
419737	42	STIM=s
424775	42	RESP=1
436943	42	STIM=w
439794	42	RESP=1
453783	42	STIM=d
458792	42	RESP=1
469929	42	STIM=i
474673	42	RESP=1
488779	42	STIM=e
493776	42	RESP=1
506737	42	STIM=q
516469	42	RESP=1
523127	42	STIM=m
527333	42	RESP=1
540890	42	STIM=j
545277	42	RESP=1
557428	42	STIM=n
563526	42	RESP=1
574031	42	STIM=j
582427	42	RESP=1
589644	42	STIM=7
595441	42	RESP=2
607804	42	STIM=d
614185	42	RESP=1
626671	42	STIM=3
633350	42	RESP=2
644516	42	STIM=y
651358	42	RESP=1
662138	42	STIM=u
667123	42	RESP=1
678621	42	STIM=s
684407	42	RESP=1
696877	42	STIM=v
700182	42	RESP=1
714498	42	STIM=u
718852	42	RESP=1
732706	42	STIM=4
736979	42	RESP=2
749074	42	STIM=u
752143	42	RESP=1
767484	42	STIM=j
772065	42	RESP=1
783094	42	STIM=t
788144	42	RESP=1
801249	42	STIM=3
805484	42	RESP=2
816258	42	STIM=b
821386	42	RESP=1
833460	42	STIM=a
837871	42	RESP=1
850142	42	STIM=4
854690	42	RESP=2
867847	42	STIM=r
871021	42	RESP=1
883329	42	STIM=t
886688	42	RESP=1
902181	42	STIM=9
908179	42	RESP=1
918160	42	STIM=0
925348	42	RESP=1
935903	42	STIM=n
943430	42	RESP=1
951183	42	STIM=p
957094	42	RESP=1
969619	42	STIM=1
977616	42	RESP=2
985873	42	STIM=7
991628	42	RESP=2
1001474	42	STIM=q
1007851	42	RESP=1
1018253	42	STIM=y
1021870	42	RESP=1
1035923	42	STIM=l
1039722	42	RESP=1
1051983	42	STIM=k
1055804	42	RESP=1
1070846	42	STIM=k
1074083	42	RESP=1
1089515	42	STIM=j
1092663	42	RESP=1
1107704	42	STIM=s
1115362	42	RESP=1
1125565	42	STIM=y
1133095	42	RESP=1
1144368	42	STIM=7
1151317	42	RESP=2
1161619	42	STIM=z
1167676	42	RESP=1
1179593	42	STIM=p
1182845	42	RESP=1
1196744	42	STIM=b
1202293	42	RESP=1
1215489	42	STIM=m
1223174	42	RESP=1
1231605	42	STIM=q
1239451	42	RESP=1
1247935	42	STIM=p
1255267	42	RESP=1
1266565	42	STIM=j
1272021	42	RESP=1
1284968	42	STIM=e
1289621	42	RESP=1
1300006	42	STIM=q
1305197	42	RESP=1
1318546	42	STIM=g
1323040	42	RESP=1
1334957	42	STIM=g
1339056	42	RESP=1
1351686	42	STIM=l
1355213	42	RESP=1
1369441	42	STIM=p
1372365	42	RESP=1
1385580	42	STIM=l
1393111	42	RESP=2
1403317	42	STIM=j
1406486	42	RESP=2
1418893	42	STIM=i
1427364	42	RESP=1
1436417	42	STIM=v
1440069	42	RESP=1
1451728	42	STIM=x
1455245	42	RESP=1
1468547	42	STIM=d
1474539	42	RESP=1
1486172	42	STIM=d
1492741	42	RESP=2
1502945	42	STIM=b
1507158	42	RESP=1
1518966	42	STIM=4
1524421	42	RESP=2
1536625	42	STIM=v
1541063	42	RESP=1
1554005	42	STIM=8
1558534	42	RESP=2
1569765	42	STIM=h
1574863	42	RESP=2
1586399	42	STIM=u
1590791	42	RESP=2
1604968	42	STIM=7
1613104	42	RESP=2
1622975	42	STIM=c
1626756	42	RESP=1
1638390	42	STIM=g
1642302	42	RESP=1
1656733	42	STIM=p
1659326	42	RESP=1
1674610	42	STIM=h
1684215	42	RESP=1
1692056	42	STIM=n
1694684	42	RESP=1
