# Original filename: 0046_DKV_2016-11-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35509	42	STIM=d
42297	42	RESP=1
52615	42	STIM=y
57579	42	RESP=1
70568	42	STIM=8
81367	42	RESP=2
86150	42	STIM=j
94473	42	RESP=1
101553	42	STIM=u
107333	42	RESP=1
119216	42	STIM=n
123284	42	RESP=1
135416	42	STIM=k
139908	42	RESP=1
152300	42	STIM=r
156885	42	RESP=1
171106	42	STIM=n
179460	42	RESP=1
187064	42	STIM=h
189983	42	RESP=1
202480	42	STIM=p
209843	42	RESP=1
219999	42	STIM=s
233248	42	RESP=1
238043	42	STIM=8
242276	42	RESP=2
253169	42	STIM=8
257369	42	RESP=2
269694	42	STIM=e
273799	42	RESP=1
284789	42	STIM=n
292225	42	RESP=1
301517	42	STIM=r
313703	42	RESP=1
317451	42	STIM=l
320338	42	RESP=1
333167	42	STIM=w
342633	42	RESP=1
348648	42	STIM=v
355312	42	RESP=1
367436	42	STIM=4
377770	42	RESP=2
386432	42	STIM=v
395375	42	RESP=1
404378	42	STIM=n
408945	42	RESP=1
421093	42	STIM=g
428327	42	RESP=1
438575	42	STIM=i
444395	42	RESP=1
456499	42	STIM=q
459988	42	RESP=1
473694	42	STIM=m
482078	42	RESP=2
491142	42	STIM=u
494394	42	RESP=1
506145	42	STIM=h
509935	42	RESP=1
523324	42	STIM=y
528136	42	RESP=1
539078	42	STIM=j
546915	42	RESP=1
555753	42	STIM=1
561078	42	RESP=2
574060	42	STIM=u
577524	42	RESP=1
590857	42	STIM=h
597689	42	RESP=1
609325	42	STIM=c
612286	42	RESP=1
624937	42	STIM=7
629965	42	RESP=1
643733	42	STIM=i
649770	42	RESP=1
658929	42	STIM=x
663466	42	RESP=1
676340	42	STIM=p
680591	42	RESP=1
694018	42	STIM=7
702140	42	RESP=2
712755	42	STIM=a
719450	42	RESP=1
730024	42	STIM=y
736846	42	RESP=1
746890	42	STIM=z
752295	42	RESP=1
762422	42	STIM=k
768370	42	RESP=1
779723	42	STIM=k
785612	42	RESP=1
796087	42	STIM=e
799360	42	RESP=1
811575	42	STIM=f
816208	42	RESP=1
830303	42	STIM=q
835110	42	RESP=1
846458	42	STIM=s
850193	42	RESP=2
862541	42	STIM=h
864971	42	RESP=1
880005	42	STIM=b
883817	42	RESP=1
898236	42	STIM=z
904796	42	RESP=1
914983	42	STIM=k
920889	42	RESP=1
930148	42	STIM=j
936798	42	RESP=1
945903	42	STIM=j
948474	42	RESP=1
962913	42	STIM=s
968417	42	RESP=2
978223	42	STIM=l
981781	42	RESP=2
995454	42	STIM=k
998657	42	RESP=1
1012732	42	STIM=k
1017966	42	RESP=1
1030294	42	STIM=j
1036751	42	RESP=1
1049186	42	STIM=i
1056312	42	RESP=1
1064600	42	STIM=i
1075223	42	RESP=1
1081713	42	STIM=5
1088477	42	RESP=2
1097849	42	STIM=a
1102409	42	RESP=1
1114962	42	STIM=y
1119784	42	RESP=1
1133176	42	STIM=k
1140532	42	RESP=1
1150884	42	STIM=z
1155942	42	RESP=1
1167411	42	STIM=w
1174336	42	RESP=1
1184969	42	STIM=a
1191274	42	RESP=1
1203491	42	STIM=k
1207012	42	RESP=1
1221693	42	STIM=t
1228937	42	RESP=1
1240263	42	STIM=k
1244207	42	RESP=1
1255524	42	STIM=v
1260181	42	RESP=2
1271292	42	STIM=v
1277934	42	RESP=1
1287148	42	STIM=q
1291482	42	RESP=2
1302568	42	STIM=f
1308046	42	RESP=1
1318156	42	STIM=q
1325445	42	RESP=1
1335852	42	STIM=a
1342699	42	RESP=1
1351769	42	STIM=k
1355556	42	RESP=1
1368248	42	STIM=c
1373627	42	RESP=1
1386983	42	STIM=s
1391865	42	RESP=1
1403691	42	STIM=p
1409563	42	RESP=1
1420648	42	STIM=r
1424326	42	RESP=1
1436553	42	STIM=q
1441502	42	RESP=1
1451954	42	STIM=c
1456313	42	RESP=1
1468731	42	STIM=0
1483840	42	RESP=2
1484698	42	STIM=i
1493037	42	RESP=1
1501568	42	STIM=a
1514145	42	RESP=1
1520291	42	STIM=z
