# Original filename: 0046_XGB_2016-11-10.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28558	42	STIM=k
33281	42	RESP=1
43686	42	STIM=f
49103	42	RESP=1
61074	42	STIM=2
66747	42	RESP=2
77691	42	STIM=u
80673	42	RESP=1
95323	42	STIM=1
100016	42	RESP=2
110568	42	STIM=t
115486	42	RESP=1
125903	42	STIM=n
129350	42	RESP=1
143568	42	STIM=n
149117	42	RESP=1
159498	42	STIM=s
163099	42	RESP=1
177465	42	STIM=j
180529	42	RESP=1
196044	42	STIM=w
203499	42	RESP=1
214976	42	STIM=3
219505	42	RESP=2
231822	42	STIM=1
240768	42	RESP=2
247516	42	STIM=t
251695	42	RESP=2
263988	42	STIM=s
268166	42	RESP=1
282365	42	STIM=i
291087	42	RESP=1
298938	42	STIM=8
304065	42	RESP=2
317139	42	STIM=a
321546	42	RESP=1
332909	42	STIM=h
336824	42	RESP=1
349132	42	STIM=o
353785	42	RESP=1
364840	42	STIM=k
370900	42	RESP=1
380085	42	STIM=6
387179	42	RESP=2
395742	42	STIM=4
403793	42	RESP=2
412827	42	STIM=f
416182	42	RESP=1
429573	42	STIM=j
434186	42	RESP=1
448330	42	STIM=4
452705	42	RESP=2
465628	42	STIM=g
469432	42	RESP=1
483003	42	STIM=n
486297	42	RESP=1
499298	42	STIM=b
505085	42	RESP=1
515971	42	STIM=x
520217	42	RESP=1
531908	42	STIM=k
535586	42	RESP=1
548252	42	STIM=m
554181	42	RESP=1
565005	42	STIM=8
573036	42	RESP=2
583495	42	STIM=9
588966	42	RESP=2
601126	42	STIM=k
604316	42	RESP=1
618108	42	STIM=q
621732	42	RESP=1
635893	42	STIM=o
639348	42	RESP=1
653947	42	STIM=j
657116	42	RESP=1
672034	42	STIM=z
679355	42	RESP=1
687708	42	STIM=y
691147	42	RESP=1
705138	42	STIM=m
711532	42	RESP=1
721575	42	STIM=f
725865	42	RESP=1
736639	42	STIM=v
739546	42	RESP=1
755134	42	STIM=s
758913	42	RESP=1
772732	42	STIM=n
775866	42	RESP=1
788125	42	STIM=z
795030	42	RESP=1
806233	42	STIM=n
811271	42	RESP=1
824705	42	STIM=y
827845	42	RESP=1
843357	42	STIM=h
847150	42	RESP=1
859130	42	STIM=3
863484	42	RESP=2
875028	42	STIM=2
882280	42	RESP=2
891925	42	STIM=l
895073	42	RESP=1
907362	42	STIM=z
913535	42	RESP=1
925427	42	STIM=k
930021	42	RESP=1
943711	42	STIM=e
951536	42	RESP=1
962610	42	STIM=v
966810	42	RESP=1
980125	42	STIM=w
985324	42	RESP=1
997835	42	STIM=n
1006438	42	RESP=1
1016228	42	STIM=h
1021033	42	RESP=1
1031285	42	STIM=3
1036919	42	RESP=2
1046300	42	STIM=5
1053144	42	RESP=1
1064234	42	STIM=u
1071483	42	RESP=1
1081544	42	STIM=j
1085531	42	RESP=1
1099370	42	STIM=h
1105644	42	RESP=1
1115545	42	STIM=i
1118923	42	RESP=1
1132464	42	STIM=c
1137081	42	RESP=1
1148287	42	STIM=o
1151977	42	RESP=1
1164276	42	STIM=i
1170980	42	RESP=1
1183247	42	STIM=b
1187391	42	RESP=1
1202066	42	STIM=5
1210281	42	RESP=2
1220893	42	STIM=8
1225430	42	RESP=2
1238918	42	STIM=u
1244212	42	RESP=2
1256135	42	STIM=2
1264271	42	RESP=2
1271184	42	STIM=j
1277912	42	RESP=1
1288576	42	STIM=z
1291785	42	RESP=1
1304481	42	STIM=7
1310104	42	RESP=2
1322461	42	STIM=y
1327567	42	RESP=1
1340224	42	STIM=s
1344273	42	RESP=1
1358586	42	STIM=3
1363461	42	RESP=2
1377141	42	STIM=x
1379846	42	RESP=1
1394485	42	STIM=l
1397250	42	RESP=1
1413354	42	STIM=d
1416523	42	RESP=1
1431941	42	STIM=l
1438318	42	RESP=1
1449142	42	STIM=i
1456039	42	RESP=1
1465485	42	STIM=2
1469937	42	RESP=2
1481988	42	STIM=e
1487410	42	RESP=1
1497907	42	STIM=h
1505427	42	RESP=1
1515234	42	STIM=k
1519033	42	RESP=1
1530311	42	STIM=v
1535142	42	RESP=1
1547213	42	STIM=s
1551509	42	RESP=1
1562547	42	STIM=f
1570393	42	RESP=1
1579079	42	STIM=o
1582915	42	RESP=1
1596680	42	STIM=1
1601089	42	RESP=2
1614193	42	STIM=v
1620858	42	RESP=1
1629343	42	STIM=d
1637282	42	RESP=1
1646177	42	STIM=i
1653432	42	RESP=1
1664502	42	STIM=v
1670259	42	RESP=1
1680694	42	STIM=8
1685227	42	RESP=2
1697373	42	STIM=q
1702284	42	RESP=1
1712834	42	STIM=n
1717230	42	RESP=1
1729874	42	STIM=p
1736256	42	RESP=1
1748132	42	STIM=6
1755768	42	RESP=2
1765819	42	STIM=y
1770206	42	RESP=1
1784677	42	STIM=u
1789269	42	RESP=1
1803037	42	STIM=l
1809824	42	RESP=1
1819527	42	STIM=1
1823936	42	RESP=2
1836875	42	STIM=c
1840743	42	RESP=1
1853148	42	STIM=p
1858071	42	RESP=1
1870801	42	STIM=g
1876005	42	RESP=1
1887690	42	STIM=q
1892614	42	RESP=1
1906661	42	STIM=i
1912833	42	RESP=1
1925019	42	STIM=i
1928917	42	RESP=1
1941712	42	STIM=f
1947099	42	RESP=1
1956732	42	STIM=l
1961643	42	RESP=1
1974918	42	STIM=t
1979315	42	RESP=1
1992650	42	STIM=u
1998880	42	RESP=1
2011389	42	STIM=v
2018096	42	RESP=1
2029703	42	STIM=4
2038857	42	RESP=2
2044984	42	STIM=y
2048093	42	RESP=1
2061456	42	STIM=4
2066412	42	RESP=2
2077577	42	STIM=r
2086724	42	RESP=1
2094739	42	STIM=x
2105386	42	RESP=1
2113008	42	STIM=2
2116628	42	RESP=1
2128629	42	STIM=s
2133581	42	RESP=1
2145219	42	STIM=k
2151625	42	RESP=1
2160573	42	STIM=n
2164754	42	RESP=1
2178653	42	STIM=k
2182548	42	RESP=1
2193953	42	STIM=f
2198365	42	RESP=1
2212781	42	STIM=k
2219678	42	RESP=1
2229897	42	STIM=o
2234527	42	RESP=1
2246058	42	STIM=1
2250852	42	RESP=2
2263690	42	STIM=y
2268117	42	RESP=1
2281747	42	STIM=k
2292568	42	RESP=1
2298237	42	STIM=k
2301744	42	RESP=1
2316340	42	STIM=7
2320158	42	RESP=2
2332435	42	STIM=8
2336824	42	RESP=1
2350101	42	STIM=n
2353638	42	RESP=1
2365797	42	STIM=b
2373820	42	RESP=1
2380870	42	STIM=w
2384267	42	RESP=1
2397105	42	STIM=x
2406486	42	RESP=1
2412105	42	STIM=d
2420001	42	RESP=1
2428743	42	STIM=e
2435090	42	RESP=1
2445002	42	STIM=0
2448995	42	RESP=2
