# Original filename: 0048_MPU_2016-12-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27816	42	STIM=n
32392	42	RESP=1
43250	42	STIM=l
50149	42	RESP=1
61008	42	STIM=0
67085	42	RESP=2
76477	42	STIM=u
81881	42	RESP=1
92984	42	STIM=g
98308	42	RESP=1
111908	42	STIM=d
118174	42	RESP=1
129989	42	STIM=v
132826	42	RESP=1
146633	42	STIM=8
154026	42	RESP=1
163156	42	STIM=s
169185	42	RESP=1
181239	42	STIM=k
188496	42	RESP=1
199678	42	STIM=n
203439	42	RESP=1
216836	42	STIM=l
220527	42	RESP=1
233424	42	STIM=c
241514	42	RESP=1
250425	42	STIM=2
260587	42	RESP=2
266477	42	STIM=j
272443	42	RESP=1
282668	42	STIM=l
288960	42	RESP=1
301357	42	STIM=1
309540	42	RESP=2
316501	42	STIM=0
324649	42	RESP=2
333366	42	STIM=q
339920	42	RESP=1
349175	42	STIM=m
355399	42	RESP=1
366870	42	STIM=r
371114	42	RESP=1
385822	42	STIM=h
391420	42	RESP=1
402705	42	STIM=6
407814	42	RESP=2
417710	42	STIM=q
423552	42	RESP=1
434703	42	STIM=b
438677	42	RESP=1
451616	42	STIM=x
458932	42	RESP=1
470186	42	STIM=z
476886	42	RESP=1
488322	42	STIM=b
493038	42	RESP=1
503539	42	STIM=x
508632	42	RESP=1
520316	42	STIM=u
525990	42	RESP=1
537781	42	STIM=n
542195	42	RESP=1
554765	42	STIM=t
561179	42	RESP=1
573281	42	STIM=t
579800	42	RESP=1
589135	42	STIM=h
594028	42	RESP=1
604645	42	STIM=t
608527	42	RESP=1
622422	42	STIM=z
627470	42	RESP=1
638977	42	STIM=y
644110	42	RESP=1
654850	42	STIM=5
661303	42	RESP=2
673732	42	STIM=m
677877	42	RESP=1
691841	42	STIM=m
698302	42	RESP=1
708355	42	STIM=s
711533	42	RESP=1
725092	42	STIM=o
731888	42	RESP=1
743032	42	STIM=g
748546	42	RESP=1
758663	42	STIM=j
765023	42	RESP=2
775077	42	STIM=l
778579	42	RESP=1
791722	42	STIM=n
795269	42	RESP=1
810387	42	STIM=j
820788	42	RESP=1
825472	42	STIM=b
832644	42	RESP=1
843664	42	STIM=a
849951	42	RESP=1
861575	42	STIM=g
870151	42	RESP=1
880109	42	STIM=c
887848	42	RESP=1
898004	42	STIM=j
901375	42	RESP=1
915188	42	STIM=j
920570	42	RESP=1
930216	42	STIM=7
937798	42	RESP=2
947469	42	STIM=4
953933	42	RESP=1
962727	42	STIM=r
967182	42	RESP=1
979991	42	STIM=i
994452	42	RESP=1
995854	42	STIM=q
999399	42	RESP=1
1012913	42	STIM=5
1019953	42	RESP=2
1030290	42	STIM=2
1036264	42	RESP=2
1047181	42	STIM=r
1050644	42	RESP=1
1065790	42	STIM=d
1071537	42	RESP=1
1084299	42	STIM=o
1088536	42	RESP=1
1102182	42	STIM=h
1109084	42	RESP=1
1118707	42	STIM=f
1123584	42	RESP=1
1134784	42	STIM=7
1140969	42	RESP=1
1150795	42	STIM=h
1156415	42	RESP=1
1168685	42	STIM=l
1175581	42	RESP=1
1186235	42	STIM=y
1189679	42	RESP=1
1201509	42	STIM=w
1209375	42	RESP=1
1218472	42	STIM=b
1224669	42	RESP=1
1236938	42	STIM=4
1246396	42	RESP=2
1254551	42	STIM=m
1261810	42	RESP=1
1269610	42	STIM=n
1274389	42	RESP=1
1286307	42	STIM=o
1291410	42	RESP=1
1301619	42	STIM=y
1305771	42	RESP=1
1316925	42	STIM=v
1325586	42	RESP=1
1333859	42	STIM=s
1342754	42	RESP=1
1351763	42	STIM=o
1357353	42	RESP=1
1370009	42	STIM=o
1376100	42	RESP=1
1387204	42	STIM=z
1393500	42	RESP=1
1403826	42	STIM=o
1409326	42	RESP=1
1419083	42	STIM=4
1424776	42	RESP=1
1437402	42	STIM=v
1441773	42	RESP=1
1452974	42	STIM=r
1456503	42	RESP=1
1470132	42	STIM=b
1478665	42	RESP=1
1485666	42	STIM=v
1495085	42	RESP=1
1503820	42	STIM=a
1514517	42	RESP=1
1519568	42	STIM=k
1524984	42	RESP=1
1537608	42	STIM=z
1545577	42	RESP=1
1553893	42	STIM=j
1559729	42	RESP=1
1570274	42	STIM=b
1574125	42	RESP=1
1588100	42	STIM=y
1593022	42	RESP=1
1603801	42	STIM=w
1609094	42	RESP=1
1619746	42	STIM=m
1623748	42	RESP=1
1636195	42	STIM=l
1644769	42	RESP=1
1653397	42	STIM=c
1662268	42	RESP=1
1669645	42	STIM=x
1676742	42	RESP=1
1685841	42	STIM=n
1693106	42	RESP=1
1704377	42	STIM=f
1711789	42	RESP=1
1723370	42	STIM=m
1729594	42	RESP=1
1741348	42	STIM=g
1746199	42	RESP=1
1759532	42	STIM=j
1771254	42	RESP=1
1775677	42	STIM=q
1781591	42	RESP=2
1792152	42	STIM=d
1797088	42	RESP=1
1809923	42	STIM=8
1816110	42	RESP=2
1827664	42	STIM=s
1833136	42	RESP=1
1844565	42	STIM=e
1851041	42	RESP=1
1860949	42	STIM=e
1867646	42	RESP=1
1876540	42	STIM=s
1884395	42	RESP=1
1894522	42	STIM=i
1901749	42	RESP=1
1912619	42	STIM=0
1918214	42	RESP=1
1930216	42	STIM=i
1937318	42	RESP=1
1947812	42	STIM=q
1953062	42	RESP=1
1963820	42	STIM=t
1967452	42	RESP=1
1980282	42	STIM=c
1984168	42	RESP=1
1996587	42	STIM=r
2006682	42	RESP=1
2011738	42	STIM=m
2019744	42	RESP=1
2030254	42	STIM=x
2035065	42	RESP=1
2045831	42	STIM=r
2051179	42	RESP=1
2063281	42	STIM=o
2067576	42	RESP=1
2078454	42	STIM=2
2086093	42	RESP=2
2095012	42	STIM=x
2099782	42	RESP=1
2111783	42	STIM=q
2115649	42	RESP=1
2127298	42	STIM=s
2133159	42	RESP=1
2143308	42	STIM=v
2154084	42	RESP=2
2159358	42	STIM=w
2166039	42	RESP=1
2177599	42	STIM=d
2182025	42	RESP=1
2194362	42	STIM=c
2197441	42	RESP=1
2209585	42	STIM=o
2217542	42	RESP=1
2228126	42	STIM=6
2233927	42	RESP=2
