# Original filename: 0048_MSB_2016-09-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34999	42	STIM=d
42952	42	RESP=1
52835	42	STIM=2
59594	42	RESP=2
69423	42	STIM=s
72458	42	RESP=1
86994	42	STIM=e
89350	42	RESP=2
104111	42	STIM=8
109007	42	RESP=2
120459	42	STIM=x
126264	42	RESP=1
137895	42	STIM=i
141385	42	RESP=1
153301	42	STIM=t
160289	42	RESP=1
169607	42	STIM=c
174060	42	RESP=1
188105	42	STIM=a
191597	42	RESP=1
206923	42	STIM=n
210156	42	RESP=1
223677	42	STIM=d
227925	42	RESP=1
239496	42	STIM=6
244793	42	RESP=2
257499	42	STIM=o
262871	42	RESP=1
273320	42	STIM=n
277816	42	RESP=1
289260	42	STIM=0
293290	42	RESP=2
305852	42	STIM=f
309863	42	RESP=1
322315	42	STIM=0
329359	42	RESP=2
337896	42	STIM=6
341211	42	RESP=2
355618	42	STIM=s
359766	42	RESP=1
373558	42	STIM=a
376599	42	RESP=1
391217	42	STIM=q
396831	42	RESP=1
408448	42	STIM=n
416150	42	RESP=1
426095	42	STIM=8
430609	42	RESP=1
442674	42	STIM=e
446968	42	RESP=1
459420	42	STIM=c
463589	42	RESP=1
475302	42	STIM=5
481372	42	RESP=2
492886	42	STIM=k
497091	42	RESP=1
510576	42	STIM=v
515297	42	RESP=1
527782	42	STIM=s
533764	42	RESP=1
543808	42	STIM=i
549712	42	RESP=2
559912	42	STIM=b
569381	42	RESP=2
578228	42	STIM=7
585050	42	RESP=1
596313	42	STIM=z
603895	42	RESP=1
615300	42	STIM=h
618893	42	RESP=1
634237	42	STIM=m
637705	42	RESP=1
652253	42	STIM=1
658542	42	RESP=2
667999	42	STIM=k
673033	42	RESP=1
683496	42	STIM=3
696215	42	RESP=2
700255	42	STIM=1
706098	42	RESP=2
718571	42	STIM=1
723500	42	RESP=2
736350	42	STIM=u
739742	42	RESP=1
753059	42	STIM=7
757158	42	RESP=2
768511	42	STIM=q
775706	42	RESP=1
783860	42	STIM=v
788500	42	RESP=1
800163	42	STIM=h
803081	42	RESP=1
815635	42	STIM=i
819359	42	RESP=1
831974	42	STIM=7
837595	42	RESP=2
850780	42	STIM=j
855356	42	RESP=1
867274	42	STIM=r
876501	42	RESP=1
882692	42	STIM=f
891257	42	RESP=1
898336	42	STIM=f
904484	42	RESP=1
917059	42	STIM=3
928320	42	RESP=2
934440	42	STIM=j
938847	42	RESP=1
950895	42	STIM=a
955198	42	RESP=1
968873	42	STIM=d
974139	42	RESP=1
984909	42	STIM=y
988682	42	RESP=1
1002304	42	STIM=n
1005483	42	RESP=1
1019278	42	STIM=c
1026412	42	RESP=1
1034904	42	STIM=g
1038465	42	RESP=1
1051712	42	STIM=b
1061136	42	RESP=2
1069259	42	STIM=x
1074583	42	RESP=1
1086302	42	STIM=s
1095265	42	RESP=1
1104858	42	STIM=o
1109487	42	RESP=1
1121531	42	STIM=t
1125585	42	RESP=1
1137824	42	STIM=y
1141939	42	RESP=1
1154959	42	STIM=e
1158985	42	RESP=1
1172041	42	STIM=7
1177116	42	RESP=2
1187291	42	STIM=x
1190951	42	RESP=1
1202927	42	STIM=k
1206239	42	RESP=1
1218444	42	STIM=t
1221098	42	RESP=1
1236471	42	STIM=v
1240123	42	RESP=1
1253979	42	STIM=r
1258853	42	RESP=1
1270499	42	STIM=q
1273358	42	RESP=1
1287750	42	STIM=3
1291593	42	RESP=2
1305569	42	STIM=h
1313051	42	RESP=1
1323739	42	STIM=o
1331174	42	RESP=1
1339212	42	STIM=4
1344760	42	RESP=2
1356137	42	STIM=g
1360026	42	RESP=1
1372662	42	STIM=9
1375793	42	RESP=2
1387665	42	STIM=d
1390838	42	RESP=1
1404704	42	STIM=g
1408660	42	RESP=1
1420413	42	STIM=7
1430083	42	RESP=1
1435802	42	STIM=r
1438902	42	RESP=1
1453225	42	STIM=m
1459137	42	RESP=1
1470050	42	STIM=0
1476296	42	RESP=2
1486562	42	STIM=k
1493143	42	RESP=1
1502000	42	STIM=y
1509267	42	RESP=1
1519534	42	STIM=s
1527678	42	RESP=1
1537572	42	STIM=n
1541627	42	RESP=1
1554551	42	STIM=b
1558550	42	RESP=1
1569810	42	STIM=u
1575301	42	RESP=1
1585432	42	STIM=6
1591293	42	RESP=2
1603918	42	STIM=g
1612849	42	RESP=1
1620249	42	STIM=c
1624384	42	RESP=1
1635358	42	STIM=2
1641446	42	RESP=2
1651388	42	STIM=l
1655476	42	RESP=1
1666817	42	STIM=o
1669864	42	RESP=1
1682445	42	STIM=l
1687452	42	RESP=1
1699341	42	STIM=w
1702929	42	RESP=1
1714978	42	STIM=f
1718543	42	RESP=1
1730011	42	STIM=3
1735062	42	RESP=2
1747328	42	STIM=f
1751100	42	RESP=1
1763345	42	STIM=r
1771761	42	RESP=1
1781833	42	STIM=k
1785137	42	RESP=1
1799470	42	STIM=o
1805442	42	RESP=2
1814636	42	STIM=x
1820362	42	RESP=1
1831976	42	STIM=p
1835519	42	RESP=1
1847154	42	STIM=j
1852050	42	RESP=1
1863410	42	STIM=s
1868396	42	RESP=1
1879347	42	STIM=v
1884762	42	RESP=1
1895826	42	STIM=e
1899274	42	RESP=2
1913964	42	STIM=o
1918960	42	RESP=1
1930637	42	STIM=4
1933858	42	RESP=2
1947116	42	STIM=e
1959632	42	RESP=1
1963749	42	STIM=l
1968228	42	RESP=2
1980503	42	STIM=1
1984601	42	RESP=2
1998047	42	STIM=i
2004431	42	RESP=1
2014882	42	STIM=l
2017909	42	RESP=1
2033721	42	STIM=u
2036616	42	RESP=1
2051070	42	STIM=j
2053896	42	RESP=1
2068856	42	STIM=b
2073213	42	RESP=1
2086185	42	STIM=e
2089473	42	RESP=1
2101887	42	STIM=z
2106288	42	RESP=1
2120444	42	STIM=n
2123352	42	RESP=1
2139421	42	STIM=h
2144728	42	RESP=1
2155784	42	STIM=w
2159687	42	RESP=1
2173635	42	STIM=3
2178638	42	RESP=2
2192348	42	STIM=r
2195082	42	RESP=1
2210047	42	STIM=b
