# Original filename: 0050_CXT_2017-05-22.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27288	42	STIM=z
30844	42	RESP=1
43350	42	STIM=y
46812	42	RESP=1
61186	42	STIM=9
64630	42	RESP=2
79153	42	STIM=r
81808	42	RESP=1
97035	42	STIM=i
101374	42	RESP=1
112237	42	STIM=w
114876	42	RESP=1
130891	42	STIM=z
135809	42	RESP=1
148780	42	STIM=r
152794	42	RESP=1
165409	42	STIM=k
168207	42	RESP=1
181376	42	STIM=p
185600	42	RESP=1
198322	42	STIM=2
204873	42	RESP=2
216841	42	STIM=z
219764	42	RESP=1
233583	42	STIM=j
238915	42	RESP=1
248804	42	STIM=r
251754	42	RESP=1
263805	42	STIM=o
267211	42	RESP=1
279780	42	STIM=w
283358	42	RESP=1
296852	42	STIM=f
305677	42	RESP=1
313601	42	STIM=g
322204	42	RESP=1
328790	42	STIM=w
337188	42	RESP=1
343845	42	STIM=o
347671	42	RESP=1
360221	42	STIM=v
364375	42	RESP=1
378964	42	STIM=x
382697	42	RESP=1
397061	42	STIM=f
402981	42	RESP=1
412320	42	STIM=g
416307	42	RESP=1
428931	42	STIM=j
434949	42	RESP=1
447149	42	STIM=d
452481	42	RESP=1
465188	42	STIM=q
469297	42	RESP=1
482334	42	STIM=t
488462	42	RESP=1
499180	42	STIM=w
505744	42	RESP=1
515941	42	STIM=v
520769	42	RESP=1
533359	42	STIM=u
537037	42	RESP=1
550617	42	STIM=g
554816	42	RESP=1
566122	42	STIM=w
571119	42	RESP=1
581721	42	STIM=n
587201	42	RESP=1
600671	42	STIM=m
604188	42	RESP=1
619401	42	STIM=d
623436	42	RESP=1
635246	42	STIM=o
641003	42	RESP=1
652463	42	STIM=n
656423	42	RESP=1
667650	42	STIM=z
671385	42	RESP=2
683199	42	STIM=v
689403	42	RESP=1
699433	42	STIM=b
704693	42	RESP=1
716834	42	STIM=l
720515	42	RESP=1
732142	42	STIM=o
736165	42	RESP=1
750678	42	STIM=k
754993	42	RESP=1
768849	42	STIM=o
773285	42	RESP=1
787759	42	STIM=x
791202	42	RESP=1
804279	42	STIM=k
807830	42	RESP=1
822050	42	STIM=f
827156	42	RESP=1
840455	42	STIM=h
845934	42	RESP=1
855788	42	STIM=9
861786	42	RESP=1
873465	42	STIM=g
877619	42	RESP=2
888974	42	STIM=s
892896	42	RESP=1
906344	42	STIM=u
912286	42	RESP=1
923565	42	STIM=n
929506	42	RESP=1
939436	42	STIM=n
943331	42	RESP=1
955280	42	STIM=y
960120	42	RESP=1
973393	42	STIM=n
980298	42	RESP=1
989938	42	STIM=w
994086	42	RESP=1
1008127	42	STIM=l
1014969	42	RESP=1
1027112	42	STIM=m
1030018	42	RESP=1
1045478	42	STIM=i
1053041	42	RESP=2
1064033	42	STIM=u
1066794	42	RESP=1
1081890	42	STIM=2
1086299	42	RESP=2
1098413	42	STIM=x
1105107	42	RESP=1
1115319	42	STIM=5
1122163	42	RESP=2
1133754	42	STIM=2
1141406	42	RESP=1
1152752	42	STIM=5
1158551	42	RESP=2
1168936	42	STIM=x
1175076	42	RESP=1
1184030	42	STIM=0
1190278	42	RESP=2
1200817	42	STIM=b
1204214	42	RESP=1
1219455	42	STIM=o
1223961	42	RESP=1
1235116	42	STIM=c
1238937	42	RESP=1
1252930	42	STIM=0
1258491	42	RESP=2
1270016	42	STIM=n
1278039	42	RESP=1
1288374	42	STIM=i
1293002	42	RESP=1
1305418	42	STIM=l
1309865	42	RESP=1
1323963	42	STIM=b
1326863	42	RESP=1
1341372	42	STIM=e
1344776	42	RESP=1
1356376	42	STIM=6
1364512	42	RESP=2
1374416	42	STIM=e
1378198	42	RESP=1
1392173	42	STIM=8
1397942	42	RESP=1
1407972	42	STIM=z
1412741	42	RESP=1
1425693	42	STIM=o
1429318	42	RESP=1
1442335	42	STIM=h
1445693	42	RESP=1
1459671	42	STIM=l
1464339	42	RESP=1
1475974	42	STIM=q
1480311	42	RESP=1
1494011	42	STIM=v
1496935	42	RESP=1
1509663	42	STIM=j
1513299	42	RESP=1
1526326	42	STIM=6
1531886	42	RESP=2
1542272	42	STIM=e
1546496	42	RESP=1
1558148	42	STIM=k
1563217	42	RESP=1
1575405	42	STIM=v
1579039	42	RESP=1
1590415	42	STIM=5
1596084	42	RESP=1
1607119	42	STIM=y
1612043	42	RESP=1
1624620	42	STIM=z
1628595	42	RESP=1
1643118	42	STIM=5
1647281	42	RESP=2
1660481	42	STIM=d
1663621	42	RESP=1
1678410	42	STIM=9
1685662	42	RESP=2
1695815	42	STIM=8
1702764	42	RESP=2
1711717	42	STIM=p
1715639	42	RESP=1
1728082	42	STIM=u
1731889	42	RESP=1
1745578	42	STIM=y
1751744	42	RESP=1
1763978	42	STIM=y
1766872	42	RESP=1
1781609	42	STIM=p
1786176	42	RESP=1
1799444	42	STIM=v
1803125	42	RESP=1
1814560	42	STIM=j
1822577	42	RESP=1
1832343	42	STIM=1
1837869	42	RESP=2
1848879	42	STIM=v
1855190	42	RESP=1
1864629	42	STIM=1
1869055	42	RESP=1
1880000	42	STIM=o
1888224	42	RESP=1
1895481	42	STIM=r
1901477	42	RESP=1
1914406	42	STIM=c
1919397	42	RESP=1
1933175	42	STIM=y
1938571	42	RESP=1
1948329	42	STIM=r
1952329	42	RESP=1
1966649	42	STIM=6
1974185	42	RESP=2
1982305	42	STIM=q
1985571	42	RESP=1
1998104	42	STIM=m
2009005	42	RESP=1
2013710	42	STIM=h
2016338	42	RESP=1
2029171	42	STIM=i
2033920	42	RESP=1
2045022	42	STIM=u
2049166	42	RESP=1
2062135	42	STIM=2
2068915	42	RESP=2
2077306	42	STIM=g
2080783	42	RESP=1
2094621	42	STIM=a
2097902	42	RESP=1
2110659	42	STIM=k
2114011	42	RESP=2
2129539	42	STIM=u
2134469	42	RESP=1
2145931	42	STIM=m
2152161	42	RESP=1
2161159	42	STIM=s
2167390	42	RESP=1
2176308	42	STIM=t
2179856	42	RESP=1
2191650	42	STIM=8
2195224	42	RESP=2
2210001	42	STIM=v
2214180	42	RESP=1
2226506	42	STIM=1
2233026	42	RESP=2
2243578	42	STIM=r
2249765	42	RESP=1
2261933	42	STIM=w
2265550	42	RESP=1
2278699	42	STIM=e
2284035	42	RESP=2
2295416	42	STIM=q
2298304	42	RESP=1
2310980	42	STIM=y
2315418	42	RESP=1
2329810	42	STIM=w
2333991	42	RESP=1
2344858	42	STIM=7
2348871	42	RESP=2
2361233	42	STIM=l
2364926	42	RESP=1
2377677	42	STIM=s
2386496	42	RESP=1
2396352	42	STIM=v
2399437	42	RESP=1
2411700	42	STIM=s
2414607	42	RESP=1
2429395	42	STIM=w
2434060	42	RESP=1
2445217	42	STIM=l
2448179	42	RESP=1
2463342	42	STIM=j
2468636	42	RESP=1
2478584	42	STIM=i
2481349	42	RESP=1
2493656	42	STIM=o
2499275	42	RESP=1
2509635	42	STIM=l
2512377	42	RESP=1
2525886	42	STIM=6
2529570	42	RESP=2
2542242	42	STIM=4
2548324	42	RESP=2
2559545	42	STIM=x
2562754	42	RESP=1
2577676	42	STIM=5
2582668	42	RESP=2
2595006	42	STIM=i
2600655	42	RESP=1
2612136	42	STIM=j
2615244	42	RESP=1
2628117	42	STIM=r
2631683	42	RESP=1
2646043	42	STIM=m
2653775	42	RESP=1
2663651	42	STIM=i
2671181	42	RESP=1
2681137	42	STIM=8
2686854	42	RESP=2
2696372	42	STIM=k
2701636	42	RESP=1
2712288	42	STIM=s
2715786	42	RESP=1
2729006	42	STIM=3
2741377	42	RESP=1
2746736	42	STIM=t
2754075	42	RESP=1
2765688	42	STIM=e
2769330	42	RESP=1
2782946	42	STIM=3
2787055	42	RESP=2
2801795	42	STIM=u
2806389	42	RESP=1
2818126	42	STIM=4
2822645	42	RESP=2
2835046	42	STIM=p
2838514	42	RESP=1
2850405	42	STIM=u
2857294	42	RESP=1
2868857	42	STIM=x
2874003	42	RESP=1
2886340	42	STIM=a
2890739	42	RESP=1
2904415	42	STIM=d
2915236	42	RESP=1
2919684	42	STIM=t
2925849	42	RESP=1
2935750	42	STIM=c
2940270	42	RESP=1
2952250	42	STIM=9
2958963	42	RESP=2
2970690	42	STIM=w
2979171	42	RESP=1
2985819	42	STIM=m
2988728	42	RESP=1
3001103	42	STIM=z
3009226	42	RESP=1
3016462	42	STIM=a
3020159	42	RESP=1
3031767	42	STIM=l
3035130	42	RESP=1
3047735	42	STIM=k
3052142	42	RESP=1
3063139	42	STIM=9
3067915	42	RESP=2
3080192	42	STIM=m
3085644	42	RESP=1
3098572	42	STIM=z
3102968	42	RESP=1
3114036	42	STIM=4
3121643	42	RESP=2
3129854	42	STIM=1
3135339	42	RESP=2
3148047	42	STIM=g
3155536	42	RESP=1
3164953	42	STIM=4
3169459	42	RESP=2
3183162	42	STIM=k
3187932	42	RESP=1
3200347	42	STIM=s
3208606	42	RESP=1
3218034	42	STIM=b
3223077	42	RESP=1
3233923	42	STIM=x
3238728	42	RESP=1
3251352	42	STIM=c
3256248	42	RESP=1
3267941	42	STIM=5
3273684	42	RESP=2
3283741	42	STIM=u
3293533	42	RESP=1
3299231	42	STIM=9
3305700	42	RESP=2
3315870	42	STIM=i
3322330	42	RESP=1
3331468	42	STIM=b
3337271	42	RESP=1
3348179	42	STIM=5
3351722	42	RESP=2
3366866	42	STIM=z
3370071	42	RESP=1
3383375	42	STIM=x
3387355	42	RESP=2
3400242	42	STIM=e
3405896	42	RESP=1
3416801	42	STIM=d
3421855	42	RESP=1
3432834	42	STIM=a
3439274	42	RESP=2
3449006	42	STIM=o
3452405	42	RESP=1
3466369	42	STIM=j
3472256	42	RESP=1
3482166	42	STIM=g
3488283	42	RESP=1
3498440	42	STIM=h
3501734	42	RESP=1
3515916	42	STIM=s
3520628	42	RESP=1
3533809	42	STIM=c
3536999	42	RESP=1
3552585	42	STIM=n
3558134	42	RESP=1
3569111	42	STIM=8
3575465	42	RESP=2
3585259	42	STIM=m
3588351	42	RESP=1
3602477	42	STIM=u
3607090	42	RESP=1
3621460	42	STIM=x
3626208	42	RESP=1
3636923	42	STIM=g
3643605	42	RESP=1
3655824	42	STIM=l
3661997	42	RESP=1
3670826	42	STIM=e
3678148	42	RESP=1
3686223	42	STIM=x
3690188	42	RESP=1
3703150	42	STIM=q
3709556	42	RESP=1
3721859	42	STIM=t
3726451	42	RESP=1
3738408	42	STIM=l
3741291	42	RESP=1
3753501	42	STIM=1
3756566	42	RESP=1
3768546	42	STIM=b
3773020	42	RESP=1
3784080	42	STIM=t
3790633	42	RESP=1
3802268	42	STIM=a
3807191	42	RESP=1
3817734	42	STIM=2
3821834	42	RESP=2
3833408	42	STIM=d
3838602	42	RESP=2
3849934	42	STIM=9
3853486	42	RESP=1
3865670	42	STIM=c
3868263	42	RESP=1
3884150	42	STIM=a
3889337	42	RESP=1
3900941	42	STIM=k
3904119	42	RESP=1
3919499	42	STIM=e
3924783	42	RESP=1
3934973	42	STIM=l
3938500	42	RESP=1
3952641	42	STIM=h
3956092	42	RESP=1
3967766	42	STIM=1
3972560	42	RESP=1
3983259	42	STIM=4
3987615	42	RESP=2
4000708	42	STIM=t
4006151	42	RESP=1
4017229	42	STIM=r
4023318	42	RESP=1
4034159	42	STIM=c
4040866	42	RESP=1
4050061	42	STIM=f
4053825	42	RESP=1
4067368	42	STIM=o
4074700	42	RESP=1
4083914	42	STIM=y
4087599	42	RESP=1
4100218	42	STIM=t
4105129	42	RESP=1
4116282	42	STIM=6
4125400	42	RESP=2
4133433	42	STIM=g
4137703	42	RESP=1
4148669	42	STIM=k
4152843	42	RESP=1
4164364	42	STIM=z
4169103	42	RESP=1
4181206	42	STIM=e
4188091	42	RESP=1
4197066	42	STIM=w
4202516	42	RESP=1
4215716	42	STIM=9
4220672	42	RESP=2
4233613	42	STIM=h
4236761	42	RESP=1
4251774	42	STIM=e
4256290	42	RESP=1
4270194	42	STIM=w
4274690	42	RESP=1
4285392	42	STIM=3
4293028	42	RESP=2
4301515	42	STIM=g
4306010	42	RESP=1
4318154	42	STIM=e
4321227	42	RESP=1
4334992	42	STIM=n
4340149	42	RESP=1
4353785	42	STIM=h
4360809	42	RESP=1
4369056	42	STIM=a
4373988	42	RESP=1
4385970	42	STIM=x
4390033	42	RESP=1
4403552	42	STIM=z
4409042	42	RESP=1
4420224	42	STIM=1
4424514	42	RESP=2
4437349	42	STIM=c
4442467	42	RESP=1
4455664	42	STIM=7
4460053	42	RESP=2
4474376	42	STIM=8
4482191	42	RESP=2
4490777	42	STIM=6
4494391	42	RESP=2
4506576	42	STIM=w
4510925	42	RESP=1
4521716	42	STIM=e
4528444	42	RESP=1
4537778	42	STIM=7
4544467	42	RESP=2
4553181	42	STIM=q
4558797	42	RESP=1
4568254	42	STIM=4
4572449	42	RESP=2
4584792	42	STIM=w
4589722	42	RESP=1
4600500	42	STIM=k
4604986	42	RESP=1
4615746	42	STIM=n
4619224	42	RESP=1
4633529	42	STIM=2
4640469	42	RESP=2
4651671	42	STIM=4
4655824	42	RESP=2
4667358	42	STIM=x
4672258	42	RESP=1
4684308	42	STIM=v
4689328	42	RESP=1
4701497	42	STIM=g
4707586	42	RESP=1
4719520	42	STIM=j
4723455	42	RESP=1
4736409	42	STIM=2
4740277	42	RESP=2
4754064	42	STIM=o
4758386	42	RESP=1
4772060	42	STIM=y
4776273	42	RESP=1
4787322	42	STIM=q
4792513	42	RESP=1
4804717	42	STIM=w
4813113	42	RESP=1
4821244	42	STIM=x
4824903	42	RESP=1
4839572	42	STIM=z
4845809	42	RESP=1
4857033	42	STIM=d
4864565	42	RESP=1
4872474	42	STIM=p
4876092	42	RESP=1
