# Original filename: 0055_GDZ_2017-01-28.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29026	42	STIM=0
34399	42	RESP=2
44681	42	STIM=g
54248	42	RESP=1
63572	42	STIM=y
68500	42	RESP=1
81622	42	STIM=1
88224	42	RESP=1
97265	42	STIM=6
101770	42	RESP=1
114347	42	STIM=c
121903	42	RESP=1
132869	42	STIM=e
138770	42	RESP=1
148947	42	STIM=p
155190	42	RESP=1
166218	42	STIM=9
172216	42	RESP=2
182218	42	STIM=i
187449	42	RESP=1
197926	42	STIM=0
204220	42	RESP=2
213332	42	STIM=k
223993	42	RESP=1
229104	42	STIM=2
235219	42	RESP=2
247703	42	STIM=2
251711	42	RESP=2
266001	42	STIM=r
271915	42	RESP=1
281916	42	STIM=3
287717	42	RESP=2
297295	42	STIM=b
302638	42	RESP=1
314245	42	STIM=i
320289	42	RESP=2
330697	42	STIM=c
334328	42	RESP=1
348092	42	STIM=3
353422	42	RESP=2
363259	42	STIM=c
368575	42	RESP=1
381602	42	STIM=b
386381	42	RESP=1
398387	42	STIM=h
403636	42	RESP=1
413765	42	STIM=c
420340	42	RESP=1
431459	42	STIM=e
439549	42	RESP=1
446551	42	STIM=x
454595	42	RESP=1
461766	42	STIM=6
467826	42	RESP=2
478075	42	STIM=h
484683	42	RESP=1
495591	42	STIM=y
501278	42	RESP=1
513668	42	STIM=m
517762	42	RESP=1
531235	42	STIM=m
537776	42	RESP=1
549872	42	STIM=p
555192	42	RESP=1
567958	42	STIM=b
572410	42	RESP=1
586883	42	STIM=e
593503	42	RESP=1
602856	42	STIM=a
607950	42	RESP=1
619970	42	STIM=b
629864	42	RESP=1
638479	42	STIM=a
646260	42	RESP=1
656477	42	STIM=u
660366	42	RESP=1
674673	42	STIM=s
686610	42	RESP=1
693653	42	STIM=s
699919	42	RESP=1
708866	42	STIM=q
716614	42	RESP=1
726861	42	STIM=s
731942	42	RESP=1
743023	42	STIM=f
750820	42	RESP=1
759600	42	STIM=w
771847	42	RESP=1
778468	42	STIM=e
784492	42	RESP=1
794704	42	STIM=o
800685	42	RESP=1
809868	42	STIM=t
815664	42	RESP=1
828771	42	STIM=6
835622	42	RESP=2
846988	42	STIM=s
856645	42	RESP=1
864348	42	STIM=b
873690	42	RESP=1
880844	42	STIM=9
885471	42	RESP=1
899100	42	STIM=0
905863	42	RESP=2
917139	42	STIM=t
923768	42	RESP=1
934355	42	STIM=x
940403	42	RESP=1
952595	42	STIM=z
958304	42	RESP=1
969877	42	STIM=s
976951	42	RESP=2
985434	42	STIM=a
993817	42	RESP=1
1004123	42	STIM=n
1008382	42	RESP=1
1023079	42	STIM=v
1026252	42	RESP=1
1040480	42	STIM=k
1044366	42	RESP=1
1058897	42	STIM=f
1070977	42	RESP=1
1074220	42	STIM=i
1079867	42	RESP=1
1089406	42	STIM=v
1099384	42	RESP=1
1106658	42	STIM=t
1111042	42	RESP=1
1125167	42	STIM=h
1129612	42	RESP=1
1143603	42	STIM=o
1148552	42	RESP=1
1160757	42	STIM=o
1166463	42	RESP=1
1176148	42	STIM=k
1181545	42	RESP=1
1193401	42	STIM=u
1196539	42	RESP=1
1210575	42	STIM=n
1215647	42	RESP=1
1229134	42	STIM=k
1234070	42	RESP=1
1245054	42	STIM=u
1249427	42	RESP=1
1262257	42	STIM=z
1266897	42	RESP=1
1281238	42	STIM=s
1291077	42	RESP=1
1296500	42	STIM=1
1304648	42	RESP=2
1312509	42	STIM=2
1317966	42	RESP=2
1328360	42	STIM=k
1333155	42	RESP=1
1343579	42	STIM=w
1350554	42	RESP=1
1360441	42	STIM=i
1366353	42	RESP=1
1375927	42	STIM=i
1381745	42	RESP=1
1392010	42	STIM=i
1394348	42	RESP=1
1407332	42	STIM=0
1413344	42	RESP=2
1425641	42	STIM=8
1434319	42	RESP=2
1440820	42	STIM=w
1446002	42	RESP=1
1459095	42	STIM=d
1465520	42	RESP=1
1476027	42	STIM=j
1482889	42	RESP=1
1494313	42	STIM=d
1498333	42	RESP=1
1509423	42	STIM=3
1517526	42	RESP=2
1527446	42	STIM=y
1534402	42	RESP=1
1544579	42	STIM=k
1551017	42	RESP=1
1561789	42	STIM=l
1567882	42	RESP=1
1578644	42	STIM=p
1583548	42	RESP=1
1597405	42	STIM=9
1603271	42	RESP=1
1614227	42	STIM=3
1624634	42	RESP=2
1629619	42	STIM=1
1637713	42	RESP=2
1646192	42	STIM=e
1650011	42	RESP=1
1662205	42	STIM=w
1668260	42	RESP=1
1679468	42	STIM=l
1684799	42	RESP=1
1697896	42	STIM=w
1701587	42	RESP=1
1712960	42	STIM=7
1718158	42	RESP=2
1728573	42	STIM=k
1734247	42	RESP=1
1746052	42	STIM=h
1750180	42	RESP=1
1762912	42	STIM=v
1772452	42	RESP=1
1778549	42	STIM=w
1785364	42	RESP=1
1796190	42	STIM=f
1802787	42	RESP=1
1812043	42	STIM=n
1816700	42	RESP=1
1830132	42	STIM=q
1836564	42	RESP=1
1845630	42	STIM=x
1850206	42	RESP=1
1862966	42	STIM=a
1869315	42	RESP=1
1880158	42	STIM=7
1885640	42	RESP=2
1899155	42	STIM=t
1902741	42	RESP=1
1914814	42	STIM=q
1919841	42	RESP=1
1933247	42	STIM=v
1938334	42	RESP=1
1951317	42	STIM=h
1959245	42	RESP=1
1968281	42	STIM=v
1972584	42	RESP=1
1986054	42	STIM=i
1990775	42	RESP=1
2004336	42	STIM=4
2009530	42	RESP=2
2021933	42	STIM=k
2024980	42	RESP=1
2037235	42	STIM=e
2041101	42	RESP=1
2054182	42	STIM=f
2061018	42	RESP=1
2072520	42	STIM=d
2077378	42	RESP=1
2088340	42	STIM=b
2095515	42	RESP=1
2106149	42	STIM=u
2109388	42	RESP=1
2124009	42	STIM=n
2131057	42	RESP=1
2142582	42	STIM=a
2147689	42	RESP=1
2157740	42	STIM=k
2162963	42	RESP=1
2175712	42	STIM=w
2181134	42	RESP=1
2194580	42	STIM=s
2199015	42	RESP=1
2210248	42	STIM=y
