# Original filename: 0055_XFK_2016-11-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36335	42	STIM=a
40830	42	RESP=1
55235	42	STIM=8
63359	42	RESP=2
71508	42	STIM=j
77565	42	RESP=1
87712	42	STIM=4
96467	42	RESP=2
105997	42	STIM=k
111461	42	RESP=1
124903	42	STIM=9
132847	42	RESP=2
141613	42	STIM=o
148806	42	RESP=1
159448	42	STIM=9
168775	42	RESP=2
177679	42	STIM=u
181425	42	RESP=2
195226	42	STIM=e
200775	42	RESP=1
210323	42	STIM=p
214582	42	RESP=1
226407	42	STIM=r
232930	42	RESP=1
244339	42	STIM=w
247444	42	RESP=1
260540	42	STIM=0
271244	42	RESP=2
276798	42	STIM=7
281883	42	RESP=2
295557	42	STIM=2
300294	42	RESP=1
313889	42	STIM=p
319643	42	RESP=1
330175	42	STIM=e
337665	42	RESP=1
348298	42	STIM=a
351624	42	RESP=1
365695	42	STIM=u
369139	42	RESP=1
383515	42	STIM=b
388979	42	RESP=1
401783	42	STIM=m
406372	42	RESP=1
419710	42	STIM=g
426777	42	RESP=1
434887	42	STIM=z
439720	42	RESP=1
452236	42	STIM=b
462248	42	RESP=1
469861	42	STIM=0
476263	42	RESP=2
488771	42	STIM=w
492050	42	RESP=1
506059	42	STIM=z
511674	42	RESP=1
523571	42	STIM=q
529063	42	RESP=2
542278	42	STIM=a
547217	42	RESP=1
560832	42	STIM=i
565295	42	RESP=1
576488	42	STIM=a
579589	42	RESP=2
592236	42	STIM=q
598851	42	RESP=1
610045	42	STIM=s
616033	42	RESP=2
627085	42	STIM=p
636554	42	RESP=1
645081	42	STIM=o
650409	42	RESP=1
663688	42	STIM=6
668737	42	RESP=2
681407	42	STIM=m
686771	42	RESP=1
699640	42	STIM=w
704364	42	RESP=1
718634	42	STIM=s
722127	42	RESP=1
735380	42	STIM=7
740182	42	RESP=2
752117	42	STIM=p
758968	42	RESP=1
768829	42	STIM=e
778010	42	RESP=1
784693	42	STIM=w
788674	42	RESP=1
802877	42	STIM=v
806563	42	RESP=1
818346	42	STIM=s
821231	42	RESP=1
833584	42	STIM=t
837046	42	RESP=1
852179	42	STIM=b
856430	42	RESP=1
870810	42	STIM=d
877747	42	RESP=1
886028	42	STIM=j
889953	42	RESP=2
903912	42	STIM=9
908401	42	RESP=2
919662	42	STIM=t
925013	42	RESP=1
937225	42	STIM=e
941526	42	RESP=1
954954	42	STIM=b
964791	42	RESP=1
972057	42	STIM=l
977820	42	RESP=1
987901	42	STIM=o
991760	42	RESP=1
1006830	42	STIM=i
1010689	42	RESP=1
1025082	42	STIM=w
1030590	42	RESP=1
1040200	42	STIM=i
1043811	42	RESP=1
1055552	42	STIM=h
1058848	42	RESP=1
1071151	42	STIM=r
1075180	42	RESP=1
1087926	42	STIM=9
1093544	42	RESP=2
1104802	42	STIM=l
1110364	42	RESP=1
1120388	42	STIM=l
1130739	42	RESP=1
1135519	42	STIM=h
1140984	42	RESP=1
1151752	42	STIM=8
1158007	42	RESP=2
1168426	42	STIM=a
1174168	42	RESP=1
1183459	42	STIM=e
1190805	42	RESP=1
1201290	42	STIM=4
1209532	42	RESP=2
1219388	42	STIM=y
1222662	42	RESP=1
1235622	42	STIM=v
1243670	42	RESP=1
1250758	42	STIM=3
1256568	42	RESP=2
1268247	42	STIM=l
1273206	42	RESP=1
1286082	42	STIM=u
1290010	42	RESP=1
1303872	42	STIM=b
1309463	42	RESP=1
1321526	42	STIM=a
1325813	42	RESP=1
1338495	42	STIM=5
1346777	42	RESP=2
1355374	42	STIM=l
1359812	42	RESP=1
1373991	42	STIM=3
1380335	42	RESP=2
1389627	42	STIM=9
1394306	42	RESP=2
1406818	42	STIM=f
1415304	42	RESP=1
1422500	42	STIM=7
1427694	42	RESP=2
1439627	42	STIM=x
1447347	42	RESP=1
1456545	42	STIM=a
1461085	42	RESP=1
1473729	42	STIM=v
1478640	42	RESP=1
1491809	42	STIM=n
1495562	42	RESP=1
1508031	42	STIM=0
1514686	42	RESP=2
1526409	42	STIM=7
1534450	42	RESP=2
1541600	42	STIM=i
1546668	42	RESP=1
1557093	42	STIM=o
1574815	42	RESP=1
1574915	42	STIM=0
1579727	42	RESP=2
1591872	42	STIM=m
1595792	42	RESP=1
1607571	42	STIM=9
1613784	42	RESP=2
1622976	42	STIM=k
1630864	42	RESP=1
1640195	42	STIM=a
1645003	42	RESP=1
1657326	42	STIM=b
1664104	42	RESP=2
1672366	42	STIM=u
1675562	42	RESP=1
1688873	42	STIM=w
1696023	42	RESP=1
1707682	42	STIM=6
1715754	42	RESP=2
1724638	42	STIM=o
1730876	42	RESP=1
1740197	42	STIM=q
1744626	42	RESP=1
1758893	42	STIM=j
1763090	42	RESP=1
1776448	42	STIM=r
1782845	42	RESP=1
1793116	42	STIM=x
1797294	42	RESP=1
1809297	42	STIM=z
1812677	42	RESP=1
1824849	42	STIM=p
1829440	42	RESP=1
1840586	42	STIM=5
1848110	42	RESP=2
1858241	42	STIM=3
1864219	42	RESP=2
1876344	42	STIM=z
1883738	42	RESP=1
1893227	42	STIM=9
1900727	42	RESP=2
1908350	42	STIM=p
1914046	42	RESP=1
1925763	42	STIM=h
1929271	42	RESP=1
1941451	42	STIM=6
1950555	42	RESP=2
1959389	42	STIM=v
1965670	42	RESP=1
1977705	42	STIM=f
1982233	42	RESP=1
1993085	42	STIM=x
2001603	42	RESP=1
2008130	42	STIM=f
2012092	42	RESP=1
2023850	42	STIM=j
2030869	42	RESP=1
2041840	42	STIM=k
2048680	42	RESP=1
2057881	42	STIM=p
2066084	42	RESP=1
2073092	42	STIM=d
2077715	42	RESP=1
2090211	42	STIM=8
2097064	42	RESP=2
2107198	42	STIM=4
2112413	42	RESP=2
2122395	42	STIM=1
2126627	42	RESP=1
2138991	42	STIM=a
2147213	42	RESP=1
2157249	42	STIM=x
2161961	42	RESP=1
2175808	42	STIM=w
2178974	42	RESP=1
2191284	42	STIM=k
2196049	42	RESP=1
2207513	42	STIM=o
2214221	42	RESP=1
2222803	42	STIM=e
2227201	42	RESP=1
2238171	42	STIM=p
2243034	42	RESP=1
2254461	42	STIM=m
2259911	42	RESP=1
2269782	42	STIM=l
