# Original filename: 0056_SFL_2017-05-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28704	42	STIM=q
34426	42	RESP=1
46788	42	STIM=i
50624	42	RESP=1
62941	42	STIM=h
69252	42	RESP=1
79942	42	STIM=l
84525	42	RESP=1
97025	42	STIM=p
106460	42	RESP=1
112132	42	STIM=5
117365	42	RESP=2
130526	42	STIM=0
134882	42	RESP=1
147951	42	STIM=p
151495	42	RESP=1
164117	42	STIM=h
171895	42	RESP=1
181895	42	STIM=2
186342	42	RESP=1
198868	42	STIM=b
202485	42	RESP=1
215731	42	STIM=w
219766	42	RESP=1
231004	42	STIM=r
235404	42	RESP=2
249751	42	STIM=t
253905	42	RESP=1
267965	42	STIM=p
272258	42	RESP=1
284021	42	STIM=h
287561	42	RESP=1
299479	42	STIM=k
304610	42	RESP=1
318413	42	STIM=f
324463	42	RESP=1
334856	42	STIM=g
340327	42	RESP=1
350345	42	STIM=9
353919	42	RESP=2
369248	42	STIM=h
372421	42	RESP=1
387792	42	STIM=a
391854	42	RESP=1
403755	42	STIM=o
410148	42	RESP=1
422353	42	STIM=m
426265	42	RESP=1
437964	42	STIM=u
442576	42	RESP=1
455263	42	STIM=k
461323	42	RESP=2
473455	42	STIM=d
481489	42	RESP=1
488699	42	STIM=8
492576	42	RESP=1
504793	42	STIM=j
508547	42	RESP=1
523591	42	STIM=m
527341	42	RESP=1
541444	42	STIM=v
549703	42	RESP=1
558400	42	STIM=0
564293	42	RESP=2
576173	42	STIM=0
582420	42	RESP=2
591844	42	STIM=r
598267	42	RESP=1
608626	42	STIM=y
612975	42	RESP=1
624648	42	STIM=m
627209	42	RESP=1
642121	42	STIM=r
645335	42	RESP=1
660818	42	STIM=h
664094	42	RESP=1
677274	42	STIM=n
681297	42	RESP=1
695180	42	STIM=g
699466	42	RESP=1
710828	42	STIM=k
715846	42	RESP=1
726069	42	STIM=h
735474	42	RESP=1
742593	42	STIM=b
746606	42	RESP=1
760489	42	STIM=h
764377	42	RESP=1
776651	42	STIM=o
783111	42	RESP=1
792369	42	STIM=8
796057	42	RESP=2
809481	42	STIM=d
816370	42	RESP=1
826080	42	STIM=k
830817	42	RESP=1
842892	42	STIM=f
846713	42	RESP=2
858009	42	STIM=l
865539	42	RESP=1
874110	42	STIM=u
877415	42	RESP=1
892789	42	STIM=o
897809	42	RESP=1
909865	42	STIM=a
914383	42	RESP=1
928533	42	STIM=p
932523	42	RESP=1
944012	42	STIM=1
