# Original filename: 0057_INY_2017-01-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30483	42	STIM=v
36195	42	RESP=1
45800	42	STIM=g
50327	42	RESP=1
63952	42	STIM=9
71942	42	RESP=2
82947	42	STIM=k
87604	42	RESP=1
100051	42	STIM=z
104337	42	RESP=1
117007	42	STIM=v
124266	42	RESP=1
136004	42	STIM=b
145062	42	RESP=1
154446	42	STIM=g
167128	42	RESP=1
171065	42	STIM=s
176979	42	RESP=1
189155	42	STIM=0
193163	42	RESP=2
204982	42	STIM=3
213354	42	RESP=1
222882	42	STIM=o
229106	42	RESP=1
240990	42	STIM=e
247799	42	RESP=1
256876	42	STIM=k
262766	42	RESP=1
273695	42	STIM=o
282329	42	RESP=1
290153	42	STIM=l
295969	42	RESP=1
306293	42	STIM=1
311989	42	RESP=2
321822	42	STIM=9
333108	42	RESP=2
340776	42	STIM=4
346424	42	RESP=2
359032	42	STIM=g
362804	42	RESP=1
377353	42	STIM=1
387515	42	RESP=1
393752	42	STIM=y
399026	42	RESP=1
411011	42	STIM=x
418009	42	RESP=1
429883	42	STIM=w
438423	42	RESP=1
447600	42	STIM=e
452345	42	RESP=1
465538	42	STIM=m
470685	42	RESP=1
482906	42	STIM=j
491001	42	RESP=1
501626	42	STIM=o
507408	42	RESP=1
518407	42	STIM=i
526876	42	RESP=1
534813	42	STIM=h
539186	42	RESP=1
551511	42	STIM=c
557664	42	RESP=1
567483	42	STIM=o
570974	42	RESP=1
584057	42	STIM=i
589751	42	RESP=1
601179	42	STIM=j
608990	42	RESP=1
617869	42	STIM=4
626335	42	RESP=2
635347	42	STIM=j
638076	42	RESP=1
651675	42	STIM=s
656025	42	RESP=1
668638	42	STIM=u
674655	42	RESP=1
686636	42	STIM=r
691685	42	RESP=1
702178	42	STIM=o
711733	42	RESP=1
718249	42	STIM=e
727140	42	RESP=1
735631	42	STIM=w
741667	42	RESP=1
753385	42	STIM=6
758867	42	RESP=1
772083	42	STIM=2
779217	42	RESP=1
789227	42	STIM=h
794008	42	RESP=1
804819	42	STIM=r
807778	42	RESP=1
