# Original filename: 0059_AQK_2017-08-29.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28304	42	STIM=b
33271	42	RESP=1
43492	42	STIM=y
47109	42	RESP=1
59110	42	STIM=j
64394	42	RESP=1
74503	42	STIM=g
79071	42	RESP=1
93073	42	STIM=u
97189	42	RESP=1
110941	42	STIM=x
113569	42	RESP=1
128525	42	STIM=x
132971	42	RESP=2
143813	42	STIM=u
149506	42	RESP=1
159135	42	STIM=s
164356	42	RESP=2
175494	42	STIM=k
178612	42	RESP=1
191369	42	STIM=1
195864	42	RESP=2
209515	42	STIM=w
212820	42	RESP=1
226210	42	STIM=4
230028	42	RESP=2
244807	42	STIM=g
252492	42	RESP=1
263676	42	STIM=e
268282	42	RESP=1
279039	42	STIM=g
284796	42	RESP=1
295293	42	STIM=k
298853	42	RESP=1
313260	42	STIM=f
316408	42	RESP=1
328746	42	STIM=l
333970	42	RESP=1
345224	42	STIM=a
348849	42	RESP=1
361395	42	STIM=u
366847	42	RESP=1
377766	42	STIM=t
383475	42	RESP=1
396285	42	STIM=s
403780	42	RESP=1
412318	42	STIM=f
415936	42	RESP=1
428303	42	STIM=c
433467	42	RESP=1
445842	42	STIM=u
449891	42	RESP=1
464012	42	STIM=f
469150	42	RESP=1
481747	42	STIM=2
486008	42	RESP=2
497647	42	STIM=c
505543	42	RESP=1
516281	42	STIM=v
519934	42	RESP=2
532794	42	STIM=w
537780	42	RESP=1
549941	42	STIM=i
554141	42	RESP=1
566557	42	STIM=0
571412	42	RESP=2
584303	42	STIM=m
591636	42	RESP=1
601429	42	STIM=k
607824	42	RESP=1
618864	42	STIM=d
622700	42	RESP=1
634292	42	STIM=s
639280	42	RESP=1
650699	42	STIM=1
657793	42	RESP=2
669045	42	STIM=5
674938	42	RESP=1
685347	42	STIM=t
688894	42	RESP=1
701462	42	STIM=p
705849	42	RESP=1
717636	42	STIM=u
721113	42	RESP=1
736482	42	STIM=5
743293	42	RESP=2
752312	42	STIM=l
760090	42	RESP=1
768891	42	STIM=b
772610	42	RESP=1
784312	42	STIM=2
788562	42	RESP=2
800279	42	STIM=r
804260	42	RESP=1
817176	42	STIM=k
820391	42	RESP=1
834391	42	STIM=x
839773	42	RESP=1
850776	42	STIM=u
855166	42	RESP=1
868981	42	STIM=n
873155	42	RESP=1
886813	42	STIM=j
895182	42	RESP=1
903512	42	STIM=f
907747	42	RESP=1
922297	42	STIM=f
925203	42	RESP=2
939407	42	STIM=d
943026	42	RESP=1
957958	42	STIM=c
962858	42	RESP=1
973185	42	STIM=d
977874	42	RESP=1
991481	42	STIM=q
997135	42	RESP=1
1008229	42	STIM=j
1011338	42	RESP=1
1026537	42	STIM=m
1030885	42	RESP=1
1041658	42	STIM=r
1046126	42	RESP=1
1056912	42	STIM=3
1062623	42	RESP=2
1073857	42	STIM=p
1079886	42	RESP=1
1090219	42	STIM=g
